vyanjan,frequency,probability
क,51.0,0.041598694942903754
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,1.0,0.0008156606851549756
छ,0.0,0.0
ज,5.0,0.004078303425774877
झ,0.0,0.0
ञ,0.0,0.0
ट,13.0,0.010603588907014683
ठ,0.0,0.0
ड,80.0,0.06525285481239804
ढ,0.0,0.0
ण,0.0,0.0
त,271.0,0.22104404567699837
थ,0.0,0.0
द,13.0,0.010603588907014683
ध,6.0,0.004893964110929853
न,254.0,0.20717781402936378
प,29.0,0.02365415986949429
फ,2.0,0.0016313213703099511
ब,180.0,0.1468189233278956
भ,5.0,0.004078303425774877
म,1.0,0.0008156606851549756
य,1.0,0.0008156606851549756
र,257.0,0.2096247960848287
ल,38.0,0.03099510603588907
व,12.0,0.009787928221859706
श,1.0,0.0008156606851549756
ष,0.0,0.0
स,6.0,0.004893964110929853
ह,0.0,0.0
