vyanjan,frequency,probability
क,6.0,0.0015702695629416384
ख,0.0,0.0
ग,1.0,0.00026171159382360636
घ,1.0,0.00026171159382360636
ङ,0.0,0.0
च,3.0,0.0007851347814708192
छ,0.0,0.0
ज,70.0,0.018319811567652448
झ,0.0,0.0
ञ,0.0,0.0
ट,12.0,0.003140539125883277
ठ,200.0,0.05234231876472128
ड,72.0,0.01884323475529966
ढ,74.0,0.019366657942946872
ण,65.0,0.017011253598534413
त,233.0,0.06097880136090029
थ,0.0,0.0
द,51.0,0.013347291285003926
ध,6.0,0.0015702695629416384
न,131.0,0.03428421879089243
प,23.0,0.006019366657942947
फ,12.0,0.003140539125883277
ब,3.0,0.0007851347814708192
भ,63.0,0.0164878304108872
म,46.0,0.012038733315885893
य,1256.0,0.3287097618424496
र,670.0,0.17534676786181627
ल,457.0,0.11960219837738811
व,129.0,0.03376079560324522
श,11.0,0.0028788275320596702
ष,0.0,0.0
स,59.0,0.015440984035592777
ह,167.0,0.04370583616854227
