vyanjan,frequency,probability
क,0.0,0.0
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,337.0,0.44576719576719576
ठ,0.0,0.0
ड,2.0,0.0026455026455026454
ढ,0.0,0.0
ण,0.0,0.0
त,0.0,0.0
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,23.0,0.03042328042328042
प,0.0,0.0
फ,0.0,0.0
ब,5.0,0.006613756613756613
भ,0.0,0.0
म,7.0,0.009259259259259259
य,0.0,0.0
र,373.0,0.4933862433862434
ल,3.0,0.003968253968253968
व,3.0,0.003968253968253968
श,0.0,0.0
ष,0.0,0.0
स,3.0,0.003968253968253968
ह,0.0,0.0
