vyanjan,frequency,probability
क,77.0,0.054111033028812365
ख,2.0,0.0014054813773717498
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,2.0,0.0014054813773717498
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,12.0,0.008432888264230498
ठ,0.0,0.0
ड,16.0,0.011243851018973999
ढ,31.0,0.02178496134926212
ण,0.0,0.0
त,55.0,0.03865073787772312
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,274.0,0.19255094869992972
प,51.0,0.035839775122979624
फ,0.0,0.0
ब,1.0,0.0007027406886858749
भ,0.0,0.0
म,43.0,0.030217849613492623
य,26.0,0.018271257905832748
र,206.0,0.14476458186929023
ल,570.0,0.4005621925509487
व,16.0,0.011243851018973999
श,5.0,0.0035137034434293743
ष,0.0,0.0
स,27.0,0.018973998594518624
ह,9.0,0.006324666198172874
