vyanjan,frequency,probability
क,7.0,0.016166281755196306
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,2.0,0.004618937644341801
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,1.0,0.0023094688221709007
ठ,10.0,0.023094688221709007
ड,9.0,0.020785219399538105
ढ,0.0,0.0
ण,0.0,0.0
त,113.0,0.26096997690531176
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,7.0,0.016166281755196306
प,12.0,0.02771362586605081
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,0.0,0.0
य,0.0,0.0
र,8.0,0.018475750577367205
ल,193.0,0.4457274826789838
व,16.0,0.03695150115473441
श,0.0,0.0
ष,0.0,0.0
स,0.0,0.0
ह,55.0,0.12702078521939955
