vyanjan,frequency,probability
क,63.0,0.012648062638024492
ख,14.0,0.0028106805862276652
ग,223.0,0.04477012648062638
घ,6.0,0.0012045773940975708
ङ,0.0,0.0
च,1.0,0.0002007628990162618
छ,0.0,0.0
ज,32.0,0.0064244127685203775
झ,0.0,0.0
ञ,0.0,0.0
ट,42.0,0.008432041758682996
ठ,0.0,0.0
ड,16.0,0.0032122063842601888
ढ,0.0,0.0
ण,0.0,0.0
त,170.0,0.034129692832764506
थ,0.0,0.0
द,57.0,0.011443485243926922
ध,60.0,0.012045773940975708
न,862.0,0.17305761895201766
प,129.0,0.02589841397309777
फ,29.0,0.005822124071471592
ब,669.0,0.13431037944187915
भ,14.0,0.0028106805862276652
म,287.0,0.05761895201766713
य,224.0,0.044970889379642644
र,926.0,0.1859064444890584
ल,256.0,0.05139530214816302
व,253.0,0.050793013451114234
श,23.0,0.004617546677374022
ष,0.0,0.0
स,190.0,0.03814495081308974
ह,435.0,0.08733186107207389
