vyanjan,frequency,probability
क,15.0,0.11029411764705882
ख,0.0,0.0
ग,12.0,0.08823529411764706
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,41.0,0.3014705882352941
ठ,0.0,0.0
ड,6.0,0.04411764705882353
ढ,0.0,0.0
ण,0.0,0.0
त,12.0,0.08823529411764706
थ,0.0,0.0
द,4.0,0.029411764705882353
ध,0.0,0.0
न,27.0,0.19852941176470587
प,3.0,0.022058823529411766
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,3.0,0.022058823529411766
य,0.0,0.0
र,0.0,0.0
ल,5.0,0.03676470588235294
व,0.0,0.0
श,0.0,0.0
ष,0.0,0.0
स,8.0,0.058823529411764705
ह,0.0,0.0
