vyanjan,frequency,probability
क,260.0,0.12434241989478718
ख,4.0,0.001912960306073649
ग,3.0,0.0014347202295552368
घ,4.0,0.001912960306073649
ङ,0.0,0.0
च,6.0,0.0028694404591104736
छ,0.0,0.0
ज,3.0,0.0014347202295552368
झ,0.0,0.0
ञ,0.0,0.0
ट,1.0,0.00047824007651841227
ठ,0.0,0.0
ड,11.0,0.0052606408417025345
ढ,0.0,0.0
ण,0.0,0.0
त,19.0,0.009086561453849833
थ,0.0,0.0
द,1.0,0.00047824007651841227
ध,0.0,0.0
न,480.0,0.22955523672883787
प,24.0,0.011477761836441894
फ,35.0,0.01673840267814443
ब,47.0,0.022477283596365374
भ,0.0,0.0
म,107.0,0.05117168818747011
य,2.0,0.0009564801530368245
र,842.0,0.4026781444285031
ल,177.0,0.08464849354375897
व,42.0,0.020086083213773313
श,0.0,0.0
ष,0.0,0.0
स,22.0,0.010521281683405069
ह,1.0,0.00047824007651841227
