vyanjan,frequency,probability
क,93.0,0.21379310344827587
ख,0.0,0.0
ग,17.0,0.03908045977011494
घ,3.0,0.006896551724137931
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,4.0,0.009195402298850575
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,24.0,0.05517241379310345
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,145.0,0.3333333333333333
प,5.0,0.011494252873563218
फ,0.0,0.0
ब,76.0,0.17471264367816092
भ,32.0,0.0735632183908046
म,0.0,0.0
य,0.0,0.0
र,0.0,0.0
ल,1.0,0.0022988505747126436
व,3.0,0.006896551724137931
श,0.0,0.0
ष,0.0,0.0
स,0.0,0.0
ह,32.0,0.0735632183908046
