vyanjan,frequency,probability
क,54.0,0.08667736757624397
ख,0.0,0.0
ग,15.0,0.024077046548956663
घ,0.0,0.0
ङ,0.0,0.0
च,1.0,0.0016051364365971107
छ,0.0,0.0
ज,1.0,0.0016051364365971107
झ,0.0,0.0
ञ,0.0,0.0
ट,6.0,0.009630818619582664
ठ,0.0,0.0
ड,1.0,0.0016051364365971107
ढ,0.0,0.0
ण,11.0,0.01765650080256822
त,1.0,0.0016051364365971107
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,56.0,0.0898876404494382
प,7.0,0.011235955056179775
फ,2.0,0.0032102728731942215
ब,21.0,0.033707865168539325
भ,0.0,0.0
म,33.0,0.052969502407704656
य,8.0,0.012841091492776886
र,251.0,0.4028892455858748
ल,88.0,0.14125200642054575
व,31.0,0.04975922953451043
श,3.0,0.004815409309791332
ष,0.0,0.0
स,33.0,0.052969502407704656
ह,0.0,0.0
