vyanjan,frequency,probability
क,5.0,0.024630541871921183
ख,0.0,0.0
ग,3.0,0.014778325123152709
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,7.0,0.034482758620689655
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,20.0,0.09852216748768473
थ,0.0,0.0
द,3.0,0.014778325123152709
ध,0.0,0.0
न,34.0,0.16748768472906403
प,12.0,0.059113300492610835
फ,0.0,0.0
ब,28.0,0.13793103448275862
भ,0.0,0.0
म,3.0,0.014778325123152709
य,26.0,0.12807881773399016
र,0.0,0.0
ल,1.0,0.0049261083743842365
व,38.0,0.18719211822660098
श,0.0,0.0
ष,0.0,0.0
स,23.0,0.11330049261083744
ह,0.0,0.0
