vyanjan,frequency,probability
क,828.0,0.21812434141201265
ख,2.0,0.0005268703898840885
ग,11.0,0.002897787144362487
घ,0.0,0.0
ङ,0.0,0.0
च,78.0,0.02054794520547945
छ,0.0,0.0
ज,65.0,0.017123287671232876
झ,0.0,0.0
ञ,0.0,0.0
ट,13.0,0.003424657534246575
ठ,0.0,0.0
ड,16.0,0.004214963119072708
ढ,0.0,0.0
ण,0.0,0.0
त,63.0,0.016596417281348787
थ,53.0,0.013962065331928345
द,51.0,0.013435194942044258
ध,0.0,0.0
न,400.0,0.1053740779768177
प,14.0,0.0036880927291886197
फ,10.0,0.0026343519494204425
ब,142.0,0.037407797681770286
भ,50.0,0.013171759747102213
म,138.0,0.03635405690200211
य,73.0,0.019230769230769232
र,1235.0,0.3253424657534247
ल,203.0,0.05347734457323498
व,44.0,0.011591148577449948
श,0.0,0.0
ष,0.0,0.0
स,166.0,0.04373024236037935
ह,141.0,0.03714436248682824
