vyanjan,frequency,probability
क,38.0,0.09112709832134293
ख,0.0,0.0
ग,14.0,0.03357314148681055
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,1.0,0.002398081534772182
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,5.0,0.011990407673860911
ढ,0.0,0.0
ण,0.0,0.0
त,2.0,0.004796163069544364
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,148.0,0.354916067146283
प,16.0,0.03836930455635491
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,43.0,0.10311750599520383
य,3.0,0.007194244604316547
र,58.0,0.13908872901678657
ल,52.0,0.12470023980815348
व,32.0,0.07673860911270983
श,5.0,0.011990407673860911
ष,0.0,0.0
स,0.0,0.0
ह,0.0,0.0
