vyanjan,frequency,probability
क,115.0,0.03657760814249364
ख,5.0,0.0015903307888040711
ग,126.0,0.04007633587786259
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,4.0,0.001272264631043257
ढ,0.0,0.0
ण,0.0,0.0
त,76.0,0.024173027989821884
थ,0.0,0.0
द,161.0,0.051208651399491094
ध,0.0,0.0
न,245.0,0.07792620865139949
प,11.0,0.003498727735368957
फ,20.0,0.006361323155216285
ब,104.0,0.03307888040712468
भ,12.0,0.003816793893129771
म,315.0,0.10019083969465649
य,50.0,0.015903307888040712
र,910.0,0.28944020356234096
ल,359.0,0.11418575063613232
व,293.0,0.09319338422391857
श,44.0,0.013994910941475827
ष,0.0,0.0
स,271.0,0.08619592875318066
ह,23.0,0.007315521628498728
