vyanjan,frequency,probability
क,42.0,0.050059594755661505
ख,0.0,0.0
ग,0.0,0.0
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,1.0,0.0011918951132300357
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,40.0,0.04767580452920143
ढ,0.0,0.0
ण,0.0,0.0
त,21.0,0.025029797377830752
थ,0.0,0.0
द,0.0,0.0
ध,0.0,0.0
न,291.0,0.3468414779499404
प,21.0,0.025029797377830752
फ,0.0,0.0
ब,4.0,0.004767580452920143
भ,0.0,0.0
म,102.0,0.12157330154946365
य,2.0,0.0023837902264600714
र,195.0,0.232419547079857
ल,2.0,0.0023837902264600714
व,111.0,0.13230035756853398
श,7.0,0.00834326579261025
ष,0.0,0.0
स,0.0,0.0
ह,0.0,0.0
