vyanjan,frequency,probability
क,1560.0,0.23933722000613686
ख,3.0,0.00046026388462718626
ग,131.0,0.020098189628720467
घ,1.0,0.00015342129487572875
ङ,0.0,0.0
च,33.0,0.005062902730899049
छ,0.0,0.0
ज,326.0,0.05001534212948757
झ,0.0,0.0
ञ,0.0,0.0
ट,55.0,0.008438171218165081
ठ,0.0,0.0
ड,38.0,0.005830009205277692
ढ,0.0,0.0
ण,0.0,0.0
त,330.0,0.050629027308990486
थ,1.0,0.00015342129487572875
द,143.0,0.021939245167229213
ध,0.0,0.0
न,195.0,0.029917152500767107
प,78.0,0.011966861000306842
फ,16.0,0.00245474071801166
ब,35.0,0.005369745320650507
भ,10.0,0.0015342129487572874
म,381.0,0.058453513347652655
य,126.0,0.019331083154341823
र,329.0,0.05047560601411476
ल,215.0,0.03298557839828168
व,397.0,0.060908254065664316
श,78.0,0.011966861000306842
ष,14.0,0.0021478981282602025
स,359.0,0.05507824486038662
ह,1664.0,0.2552930346732126
