vyanjan,frequency,probability
क,0.0,0.0
ख,0.0,0.0
ग,18.0,0.028938906752411574
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,10.0,0.01607717041800643
झ,0.0,0.0
ञ,0.0,0.0
ट,30.0,0.04823151125401929
ठ,0.0,0.0
ड,17.0,0.027331189710610933
ढ,0.0,0.0
ण,2.0,0.003215434083601286
त,14.0,0.022508038585209004
थ,0.0,0.0
द,2.0,0.003215434083601286
ध,0.0,0.0
न,37.0,0.0594855305466238
प,3.0,0.00482315112540193
फ,0.0,0.0
ब,7.0,0.011254019292604502
भ,0.0,0.0
म,0.0,0.0
य,1.0,0.001607717041800643
र,309.0,0.4967845659163987
ल,101.0,0.16237942122186494
व,24.0,0.03858520900321544
श,0.0,0.0
ष,0.0,0.0
स,33.0,0.05305466237942122
ह,14.0,0.022508038585209004
