vyanjan,frequency,probability
क,230.0,0.037667867671143135
ख,11.0,0.0018015067147068458
ग,24.0,0.003930560104814936
घ,2.0,0.00032754667540124465
ङ,0.0,0.0
च,474.0,0.07762856207009498
छ,4.0,0.0006550933508024893
ज,184.0,0.03013429413691451
झ,0.0,0.0
ञ,0.0,0.0
ट,27.0,0.0044218801179168035
ठ,1.0,0.00016377333770062233
ड,357.0,0.058467081559122176
ढ,271.0,0.04438257451686865
ण,0.0,0.0
त,836.0,0.13691451031772028
थ,1.0,0.00016377333770062233
द,304.0,0.04978709466098919
ध,24.0,0.003930560104814936
न,902.0,0.14772355060596135
प,15.0,0.002456600065509335
फ,0.0,0.0
ब,11.0,0.0018015067147068458
भ,0.0,0.0
म,43.0,0.007042253521126761
य,150.0,0.024566000655093352
र,841.0,0.13773337700622337
ल,487.0,0.07975761546020307
व,5.0,0.0008188666885031117
श,0.0,0.0
ष,0.0,0.0
स,405.0,0.06632820176875205
ह,497.0,0.08139534883720931
