vyanjan,frequency,probability
क,56.0,0.07088607594936709
ख,0.0,0.0
ग,132.0,0.1670886075949367
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,0.0,0.0
झ,0.0,0.0
ञ,0.0,0.0
ट,44.0,0.05569620253164557
ठ,0.0,0.0
ड,24.0,0.030379746835443037
ढ,0.0,0.0
ण,0.0,0.0
त,7.0,0.008860759493670886
थ,0.0,0.0
द,12.0,0.015189873417721518
ध,1.0,0.0012658227848101266
न,1.0,0.0012658227848101266
प,1.0,0.0012658227848101266
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,10.0,0.012658227848101266
य,60.0,0.0759493670886076
र,286.0,0.3620253164556962
ल,43.0,0.05443037974683544
व,105.0,0.13291139240506328
श,0.0,0.0
ष,1.0,0.0012658227848101266
स,7.0,0.008860759493670886
ह,0.0,0.0
