vyanjan,frequency,probability
क,256.0,0.044444444444444446
ख,0.0,0.0
ग,94.0,0.016319444444444445
घ,11.0,0.0019097222222222222
ङ,0.0,0.0
च,107.0,0.01857638888888889
छ,3.0,0.0005208333333333333
ज,186.0,0.03229166666666667
झ,117.0,0.0203125
ञ,0.0,0.0
ट,13.0,0.0022569444444444442
ठ,2.0,0.00034722222222222224
ड,10.0,0.001736111111111111
ढ,3.0,0.0005208333333333333
ण,62.0,0.010763888888888889
त,385.0,0.06684027777777778
थ,1.0,0.00017361111111111112
द,404.0,0.07013888888888889
ध,105.0,0.018229166666666668
न,733.0,0.12725694444444444
प,66.0,0.011458333333333333
फ,4.0,0.0006944444444444445
ब,21.0,0.0036458333333333334
भ,13.0,0.0022569444444444442
म,52.0,0.009027777777777777
य,293.0,0.050868055555555555
र,541.0,0.09392361111111111
ल,1037.0,0.18003472222222222
व,96.0,0.016666666666666666
श,62.0,0.010763888888888889
ष,1.0,0.00017361111111111112
स,259.0,0.04496527777777778
ह,823.0,0.14288194444444444
