vyanjan,frequency,probability
क,687.0,0.15950777803575575
ख,0.0,0.0
ग,4.0,0.0009287206872533086
घ,1.0,0.00023218017181332715
ङ,0.0,0.0
च,2.0,0.0004643603436266543
छ,0.0,0.0
ज,20.0,0.0046436034362665425
झ,0.0,0.0
ञ,0.0,0.0
ट,19.0,0.004411423264453216
ठ,0.0,0.0
ड,29.0,0.006733224982586487
ढ,0.0,0.0
ण,13.0,0.003018342233573253
त,248.0,0.05758068260970513
थ,7.0,0.00162526120269329
द,171.0,0.03970280938007894
ध,0.0,0.0
न,214.0,0.04968655676805201
प,90.0,0.020896215463199443
फ,10.0,0.0023218017181332712
ब,36.0,0.008358486185279778
भ,0.0,0.0
म,405.0,0.0940329695843975
य,32.0,0.007429765498026469
र,754.0,0.17506384954724866
ल,218.0,0.050615277455305314
व,120.0,0.027861620617599257
श,16.0,0.0037148827490132343
ष,0.0,0.0
स,106.0,0.024611098212212676
ह,1105.0,0.2565590898537265
