vyanjan,frequency,probability
क,226.0,0.05207373271889401
ख,70.0,0.016129032258064516
ग,1227.0,0.28271889400921657
घ,2.0,0.0004608294930875576
ङ,0.0,0.0
च,29.0,0.0066820276497695855
छ,0.0,0.0
ज,41.0,0.00944700460829493
झ,21.0,0.004838709677419355
ञ,0.0,0.0
ट,52.0,0.011981566820276499
ठ,0.0,0.0
ड,325.0,0.0748847926267281
ढ,0.0,0.0
ण,0.0,0.0
त,525.0,0.12096774193548387
थ,5.0,0.001152073732718894
द,46.0,0.010599078341013824
ध,3.0,0.0006912442396313364
न,402.0,0.09262672811059908
प,48.0,0.011059907834101382
फ,49.0,0.01129032258064516
ब,181.0,0.04170506912442396
भ,7.0,0.0016129032258064516
म,180.0,0.041474654377880185
य,229.0,0.05276497695852535
र,205.0,0.04723502304147465
ल,18.0,0.004147465437788019
व,236.0,0.054377880184331796
श,24.0,0.005529953917050691
ष,0.0,0.0
स,71.0,0.016359447004608296
ह,118.0,0.027188940092165898
