vyanjan,frequency,probability
क,348.0,0.08805668016194332
ख,0.0,0.0
ग,13.0,0.003289473684210526
घ,2.0,0.0005060728744939271
ङ,0.0,0.0
च,26.0,0.006578947368421052
छ,0.0,0.0
ज,333.0,0.08426113360323886
झ,0.0,0.0
ञ,0.0,0.0
ट,46.0,0.011639676113360324
ठ,1.0,0.00025303643724696357
ड,29.0,0.007338056680161943
ढ,0.0,0.0
ण,2.0,0.0005060728744939271
त,169.0,0.04276315789473684
थ,0.0,0.0
द,15.0,0.0037955465587044533
ध,38.0,0.009615384615384616
न,270.0,0.06831983805668017
प,48.0,0.012145748987854251
फ,5.0,0.0012651821862348178
ब,1.0,0.00025303643724696357
भ,10.0,0.0025303643724696357
म,31.0,0.00784412955465587
य,32.0,0.008097165991902834
र,1015.0,0.256831983805668
ल,149.0,0.03770242914979757
व,58.0,0.014676113360323886
श,37.0,0.009362348178137652
ष,0.0,0.0
स,285.0,0.07211538461538461
ह,989.0,0.25025303643724695
