vyanjan,frequency,probability
क,189.0,0.09043062200956938
ख,91.0,0.04354066985645933
ग,2.0,0.0009569377990430622
घ,0.0,0.0
ङ,0.0,0.0
च,0.0,0.0
छ,0.0,0.0
ज,1.0,0.0004784688995215311
झ,0.0,0.0
ञ,0.0,0.0
ट,4.0,0.0019138755980861245
ठ,0.0,0.0
ड,0.0,0.0
ढ,0.0,0.0
ण,0.0,0.0
त,69.0,0.03301435406698565
थ,0.0,0.0
द,18.0,0.00861244019138756
ध,2.0,0.0009569377990430622
न,849.0,0.4062200956937799
प,41.0,0.019617224880382776
फ,3.0,0.0014354066985645933
ब,31.0,0.014832535885167464
भ,20.0,0.009569377990430622
म,38.0,0.01818181818181818
य,6.0,0.0028708133971291866
र,255.0,0.12200956937799043
ल,150.0,0.07177033492822966
व,79.0,0.03779904306220096
श,1.0,0.0004784688995215311
ष,0.0,0.0
स,3.0,0.0014354066985645933
ह,238.0,0.11387559808612441
