vyanjan,frequency,probability
क,65.0,0.15258215962441316
ख,0.0,0.0
ग,4.0,0.009389671361502348
घ,0.0,0.0
ङ,0.0,0.0
च,2.0,0.004694835680751174
छ,0.0,0.0
ज,10.0,0.023474178403755867
झ,0.0,0.0
ञ,0.0,0.0
ट,0.0,0.0
ठ,0.0,0.0
ड,3.0,0.007042253521126761
ढ,0.0,0.0
ण,205.0,0.4812206572769953
त,14.0,0.03286384976525822
थ,0.0,0.0
द,19.0,0.04460093896713615
ध,0.0,0.0
न,1.0,0.002347417840375587
प,2.0,0.004694835680751174
फ,0.0,0.0
ब,0.0,0.0
भ,0.0,0.0
म,31.0,0.07276995305164319
य,50.0,0.11737089201877934
र,12.0,0.028169014084507043
ल,0.0,0.0
व,5.0,0.011737089201877934
श,1.0,0.002347417840375587
ष,0.0,0.0
स,2.0,0.004694835680751174
ह,0.0,0.0
