vyanjan,frequency,probability
क,2319.0,0.22514563106796118
ख,25.0,0.0024271844660194173
ग,37.0,0.003592233009708738
घ,3.0,0.0002912621359223301
ङ,0.0,0.0
च,149.0,0.014466019417475728
छ,0.0,0.0
ज,85.0,0.00825242718446602
झ,0.0,0.0
ञ,0.0,0.0
ट,71.0,0.006893203883495146
ठ,0.0,0.0
ड,74.0,0.007184466019417476
ढ,0.0,0.0
ण,0.0,0.0
त,230.0,0.02233009708737864
थ,0.0,0.0
द,500.0,0.04854368932038835
ध,1.0,9.70873786407767e-05
न,434.0,0.04213592233009709
प,374.0,0.036310679611650486
फ,140.0,0.013592233009708738
ब,500.0,0.04854368932038835
भ,631.0,0.061262135922330097
म,1414.0,0.13728155339805825
य,5.0,0.0004854368932038835
र,1661.0,0.1612621359223301
ल,721.0,0.07
व,242.0,0.02349514563106796
श,12.0,0.0011650485436893205
ष,0.0,0.0
स,398.0,0.03864077669902913
ह,274.0,0.026601941747572817
