vyanjan,frequency,probability
क,76.0,0.013117017604418364
ख,0.0,0.0
ग,7.0,0.0012081463583016915
घ,0.0,0.0
ङ,0.0,0.0
च,62.0,0.010700724887814981
छ,0.0,0.0
ज,155.0,0.026751812219537454
झ,0.0,0.0
ञ,0.0,0.0
ट,86.0,0.01484294097342078
ठ,0.0,0.0
ड,32.0,0.005522954780807732
ढ,0.0,0.0
ण,35.0,0.0060407317915084574
त,994.0,0.17155678287884019
थ,43.0,0.00742147048671039
द,130.0,0.02243700379703141
ध,0.0,0.0
न,652.0,0.11253020365895754
प,8.0,0.001380738695201933
फ,85.0,0.014670348636520539
ब,54.0,0.009319986192613048
भ,2.0,0.00034518467380048324
म,1107.0,0.1910597169485675
य,58.0,0.010010355540214014
र,1050.0,0.1812219537452537
ल,915.0,0.15792198826372109
व,105.0,0.01812219537452537
श,8.0,0.001380738695201933
ष,0.0,0.0
स,130.0,0.02243700379703141
ह,0.0,0.0
