digram,frequency,probability
को,5405,0.07286625234237028
से,4693,0.0632675896841339
की,7087,0.09554174474567588
हो,1192,0.016069671191878885
अब,558,0.0075225474203594106
और,3999,0.05391158984590911
एक,1924,0.025937959205683703
के,11307,0.15243269477061622
इस,1949,0.02627499090014425
पर,3136,0.04227725575313102
ने,4688,0.06320018334524179
चल,145,0.001954783827871173
उन,95,0.001280720438950079
का,3577,0.04822249484341507
कर,1813,0.024441538482278872
जो,410,0.005527319789152972
है,2061,0.0277848928913275
कि,3046,0.041063941653073054
जा,651,0.008776305323752646
गए,415,0.005594726128045081
भी,2332,0.03143831645927983
वह,534,0.0071989969936772855
रख,30,0.0004044380333526565
दी,336,0.004529705973549752
ये,692,0.009329037302667943
आज,162,0.002183965380104345
यह,809,0.010906345632743304
हर,146,0.001968265095649595
हब,2,2.6962535556843766e-05
ही,1352,0.018226674036426384
नए,67,0.0009032449411542662
इन,277,0.0037343111746228615
जब,392,0.005284656969141378
तो,951,0.01282068565727921
तक,668,0.009005486875985817
आम,95,0.001280720438950079
ओर,185,0.0024940345390080483
आप,254,0.0034242420157191583
एच,2,2.6962535556843766e-05
एस,14,0.00018873774889790635
रह,48,0.0006471008533642504
आए,123,0.0016581959367458917
उस,217,0.0029254351079175487
हम,173,0.0023322593256669857
या,221,0.002979360179031236
दल,83,0.0011189452256090164
वे,228,0.0030737290534801893
दे,146,0.001968265095649595
जल,12,0.0001617752133410626
दो,345,0.0046510373835555495
था,421,0.0056756137347156125
मे,16,0.00021570028445475013
तब,121,0.0016312334011890479
नो,12,0.0001617752133410626
पा,20,0.00026962535556843766
आठ,26,0.00035051296223896893
कई,456,0.006147458106960379
वो,317,0.004273561885759737
वन,26,0.00035051296223896893
ले,123,0.0016581959367458917
उल,2,2.6962535556843766e-05
कम,168,0.002264852986774876
बल,29,0.0003909567655742346
थे,150,0.0020221901667632825
बन,84,0.001132426493387438
फल,14,0.00018873774889790635
नई,78,0.0010515388867169068
नौ,17,0.00022918155223317202
आई,104,0.0014020518489558757
सा,9,0.00012133141000579694
शो,103,0.001388570581177454
डे,13,0.00017525648111948447
कह,70,0.0009436887444895318
गई,484,0.006524933604756191
तू,7,9.436887444895318e-05
सब,77,0.0010380576189384849
घर,267,0.0035994984968386427
थी,181,0.0024401094678943606
ली,86,0.001159389028944282
रे,6,8.08876066705313e-05
भर,45,0.0006066570500289847
मत,12,0.0001617752133410626
मई,45,0.0006066570500289847
बस,61,0.0008223573344837349
मन,25,0.00033703169446054707
ओम,6,8.08876066705313e-05
दम,23,0.0003100691589037033
गआ,2,2.6962535556843766e-05
गत,4,5.392507111368753e-05
छह,56,0.0007549509955916254
घट,5,6.740633889210941e-05
ठप,4,5.392507111368753e-05
मच,20,0.00026962535556843766
बम,36,0.00048532564002318776
रच,6,8.08876066705313e-05
शव,53,0.0007145071922563598
सी,20,0.00026962535556843766
मड,1,1.3481267778421883e-05
जी,50,0.0006740633889210941
ना,119,0.001604270865632204
लग,42,0.000566213246693719
कप,22,0.00029658789112528143
शक,29,0.0003909567655742346
एज,4,5.392507111368753e-05
जज,21,0.0002831066233468595
दर,15,0.00020221901667632824
ऐप,11,0.00014829394556264072
फट,6,8.08876066705313e-05
तय,70,0.0009436887444895318
सच,32,0.00043140056890950026
मर,9,0.00012133141000579694
छू,4,5.392507111368753e-05
सौ,26,0.00035051296223896893
खत,4,5.392507111368753e-05
पद,65,0.0008762824055974223
दस,21,0.0002831066233468595
भय,3,4.044380333526565e-05
कल,28,0.0003774754977958127
उठ,13,0.00017525648111948447
छल,2,2.6962535556843766e-05
बच,16,0.00021570028445475013
उप,13,0.00017525648111948447
छप,2,2.6962535556843766e-05
धो,4,5.392507111368753e-05
आग,24,0.0003235504266821252
बी,12,0.0001617752133410626
आर,10,0.00013481267778421883
जन,7,9.436887444895318e-05
जय,9,0.00012133141000579694
अल,3,4.044380333526565e-05
आओ,1,1.3481267778421883e-05
पल,8,0.00010785014222737507
रन,97,0.0013076829745069225
खा,11,0.00014829394556264072
ला,7,9.436887444895318e-05
लव,17,0.00022918155223317202
लत,1,1.3481267778421883e-05
कब,12,0.0001617752133410626
हक,7,9.436887444895318e-05
एल,2,2.6962535556843766e-05
खो,13,0.00017525648111948447
डर,12,0.0001617752133410626
रथ,4,5.392507111368753e-05
नव,1,1.3481267778421883e-05
सर,12,0.0001617752133410626
अप,4,5.392507111368753e-05
टू,4,5.392507111368753e-05
पे,9,0.00012133141000579694
हल,18,0.00024266282001159388
फन,3,4.044380333526565e-05
टल,5,6.740633889210941e-05
धर,7,9.436887444895318e-05
डी,5,6.740633889210941e-05
छत,5,6.740633889210941e-05
ती,2,2.6962535556843766e-05
टन,4,5.392507111368753e-05
ढह,3,4.044380333526565e-05
हद,18,0.00024266282001159388
जे,8,0.00010785014222737507
यश,1,1.3481267778421883e-05
ईद,11,0.00014829394556264072
कट,2,2.6962535556843766e-05
रो,3,4.044380333526565e-05
गम,2,2.6962535556843766e-05
रण,2,2.6962535556843766e-05
यू,16,0.00021570028445475013
मठ,1,1.3481267778421883e-05
गो,7,9.436887444895318e-05
टफ,2,2.6962535556843766e-05
इज,4,5.392507111368753e-05
सम,1,1.3481267778421883e-05
इट,3,4.044380333526565e-05
पथ,2,2.6962535556843766e-05
छा,6,8.08876066705313e-05
ऐड,2,2.6962535556843766e-05
जग,1,1.3481267778421883e-05
सह,4,5.392507111368753e-05
जू,3,4.044380333526565e-05
धन,18,0.00024266282001159388
एम,8,0.00010785014222737507
गं,1,1.3481267778421883e-05
घी,5,6.740633889210941e-05
जप,2,2.6962535556843766e-05
ओट,1,1.3481267778421883e-05
झा,2,2.6962535556843766e-05
लो,2,2.6962535556843766e-05
बह,7,9.436887444895318e-05
छठ,3,4.044380333526565e-05
कद,3,4.044380333526565e-05
ढक,2,2.6962535556843766e-05
बग,1,1.3481267778421883e-05
दफ,1,1.3481267778421883e-05
गा,1,1.3481267778421883e-05
टच,3,4.044380333526565e-05
आय,9,0.00012133141000579694
एफ,1,1.3481267778421883e-05
हट,3,4.044380333526565e-05
आस,2,2.6962535556843766e-05
लय,1,1.3481267778421883e-05
