digram,frequency,probability
ंड,1268,0.0039393685204688715
ोन,1687,0.005241099916428223
ेश,2325,0.007223211206695683
िय,5958,0.018510061234190488
ाज,2965,0.009211536011979656
ान,7736,0.024033876083870025
ेव,1728,0.005368476974266728
ाल,4651,0.014449529170899623
ीप,1860,0.005778568965356547
ुल,2093,0.006502443464780244
िस,3485,0.010827049916272886
ीम,2739,0.008509408815113754
ोख,190,0.0005902839265686796
ाछ,108,0.0003355298108916705
ोट,679,0.002109488348105965
ार,11070,0.03439180561639622
ोइ,229,0.0007114474693906717
ास,3117,0.0096837631532346
ाप,1612,0.005008093103309007
ेक,8027,0.02493794251877258
ीत,1630,0.005064014738457619
ैय,246,0.0007642623470310272
ील,907,0.0028178290599883806
ूर,1359,0.004222083453720187
ीह,3243,0.010075214599274882
ोच,350,0.0010873651278896729
ुक,976,0.003032195328058059
ीब,1750,0.005436825639448364
ीआ,664,0.002062886985482122
ुं,581,0.0018050261122968569
ंब,1494,0.004641495717334775
ीए,955,0.002966953420384679
ीज,2155,0.006695062430292128
ेल,3171,0.009851528058680436
िए,2449,0.007608449137719454
िन,2135,0.006632927280127004
ाम,4375,0.013592064098620911
ाह,6207,0.019283643853746285
ेइ,720,0.0022368654059444697
ेअ,1405,0.004364994299099973
ीट,762,0.0023673492212912305
ीस,2584,0.008027861401334041
ुर,1656,0.00514479043367228
ाक,6679,0.020750033397643215
ोप,1236,0.003839952280204673
ुख,570,0.0017708517797060386
ीग,775,0.0024077370688985614
ुज,201,0.0006244582591594978
िश,1023,0.0031782129309461007
ीक,5525,0.01716483523311555
ें,11643,0.03617197766862703
ंद,2352,0.007307093659418601
ेज,1908,0.005927693325752845
ौर,779,0.0024201640989315863
ाइ,1215,0.003774710372531293
ां,3601,0.011187433787230605
ंच,1062,0.003299376473768093
ेउ,679,0.002109488348105965
िक,3717,0.011547817658188325
ों,6503,0.020203244076190122
ंक,6368,0.019783831812575533
ाच,923,0.00286753718012048
ाग,1695,0.005265953976494273
ोछ,39,0.00012116354282199211
ोल,1194,0.0037094684648579126
ाए,1185,0.0036815076472836066
ंग,3172,0.009854634816188692
ुफ,46,0.00014291084537978557
ूत,256,0.0007953299221135893
ंस,2458,0.007636409955293759
ेप,3467,0.010771128281124273
ोस,1228,0.0038150982201386233
ूच,126,0.0003914514460402822
िल,4280,0.013296922135336571
ैक,1256,0.0039020874303697974
िर,2144,0.00666088809770131
ेन,2088,0.006486909677238963
ेब,3243,0.010075214599274882
ाद,3597,0.01117500675719758
