digram,frequency,probability
इं,715,0.016340989601188436
अं,444,0.010147411724374358
अब,620,0.014169809164666895
आई,535,0.012227174037252885
ईऔ,70,0.001599817163752714
और,3888,0.08885841618100788
ईप,151,0.0034510341675237114
एक,2816,0.06435835904468061
एत,99,0.0022625985601645525
इस,3637,0.08312192892240887
एभ,92,0.0021026168437892814
अप,1658,0.037892812250028565
इम,148,0.0033824705747914525
उन,2243,0.05126271283281911
अध,516,0.011792937949948578
एइ,68,0.0015541081019312078
एं,518,0.011838647011770084
एब,171,0.0039081247857387725
एह,443,0.010124557193463604
ईक,620,0.014169809164666895
ईन,122,0.002788252771111873
आन,215,0.004913724145811907
एज,326,0.007450577076905497
आश,121,0.00276539824020112
अन,521,0.011907210604502342
आभ,12,0.0002742543709290367
एच,85,0.0019426351274140097
आज,311,0.0071077591132442
एल,189,0.0043195063421323275
उप,220,0.005027996800365673
इव,95,0.0021711804365215403
इल,369,0.008433321906067878
एस,678,0.015495371957490572
इक,164,0.0037481430693635013
अल,574,0.013118500742772255
ईम,188,0.004296651811221575
एड,103,0.002354016683807565
ईड,34,0.0007770540509656039
इट,167,0.0038167066620957606
आए,259,0.005919323505885042
एग,535,0.012227174037252885
इन,641,0.01464975431379271
आर,1016,0.023220203405325105
उं,137,0.0031310707347731686
उम,240,0.005485087418580734
अग,420,0.009598902982516283
ओप,21,0.0004799451491258142
अम,438,0.010010284538909838
आम,161,0.003679579476631242
आद,229,0.00523368757856245
अक,237,0.005416523825848474
एए,108,0.00246828933836133
ईइ,40,0.0009141812364301222
ओर,189,0.0043195063421323275
एम,567,0.012958519026396983
आप,630,0.014398354473774426
उत,365,0.008341903782424866
एप,189,0.0043195063421323275
ईस,216,0.00493657867672266
आं,152,0.003473888698434465
ओं,449,0.010261684378928123
उस,1424,0.03254485201691235
आग,249,0.0056907781967775115
ऐस,486,0.011107302022625986
अव,113,0.0025825619929150953
अच,168,0.0038395611930065136
आक,89,0.002034053251057022
एध,6,0.00013712718546451835
आव,126,0.002879670894754885
एर,86,0.0019654896583247627
उठ,202,0.004616615243972118
ईव,77,0.0017597988801279854
अस,379,0.008661867215175409
ईद,158,0.003611015883898983
एद,93,0.0021254713747000343
इज,87,0.001988344189235516
ईज,172,0.003930979316649525
आह,121,0.00276539824020112
ईफ,62,0.0014169809164666896
अभ,427,0.009758884698891555
ईह,533,0.01218146497543138
आख,125,0.002856816363844132
ईअ,76,0.0017369443492172324
एआ,110,0.0025139984001828364
आठ,27,0.0006170723345903325
ईब,159,0.003633870414809736
एऔ,89,0.002034053251057022
ऊप,34,0.0007770540509656039
आत,640,0.014626899782881956
एन,372,0.008501885498800137
ईए,115,0.0026282710547366017
एअ,123,0.002811107302022626
उद,63,0.0014398354473774426
अज,74,0.0016912352873957263
ईग,94,0.0021483259056107873
अश,77,0.0017597988801279854
आस,151,0.0034510341675237114
ईच,21,0.0004799451491258142
आध,126,0.002879670894754885
उल,50,0.0011427265455376528
उक,17,0.00038852702548280196
ईत,70,0.001599817163752714
अर,229,0.00523368757856245
ईख,19,0.0004342360873043081
इब,46,0.0010513084218946407
इप,8,0.00018283624728602444
आय,313,0.007153468175065706
उच,57,0.0013027082619129242
ईर,84,0.0019197805965032568
आउ,44,0.0010055993600731345
उट,44,0.0010055993600731345
एऐ,7,0.0001599817163752714
ऐक,5,0.00011427265455376528
उछ,7,0.0001599817163752714
ईल,92,0.0021026168437892814
ईथ,280,0.006399268655010856
ऊम,24,0.0005485087418580734
ऊक,3,6.856359273225918e-05
ऊं,14,0.0003199634327505428
अख,117,0.0026739801165581076
उभ,10,0.00022854530910753056
इत,155,0.0035424522911667237
उख,3,6.856359273225918e-05
आल,120,0.002742543709290367
एउ,127,0.002902525425665638
ईश,59,0.0013484173237344303
एथ,212,0.004845160553079648
ओन,10,0.00022854530910753056
ईट,56,0.0012798537310021712
आइ,44,0.0010055993600731345
इए,17,0.00038852702548280196
एट,69,0.001576962632841961
आड,12,0.0002742543709290367
अट,42,0.0009598902982516284
ओज,4,9.141812364301222e-05
अफ,113,0.0025825619929150953
अह,156,0.0035653068220774767
उब,11,0.00025139984001828363
एव,136,0.0031082162038624157
एय,185,0.004228088218489316
ओम,18,0.00041138155639355503
ईं,81,0.0018512170037709977
इफ,54,0.001234144669180665
उर,63,0.0014398354473774426
उड,50,0.0011427265455376528
एई,9,0.00020569077819677752
ईय,56,0.0012798537310021712
ऊर,12,0.0002742543709290367
ईभ,64,0.0014626899782881956
एश,74,0.0016912352873957263
उध,19,0.0004342360873043081
आथ,80,0.0018283624728602445
अद,125,0.002856816363844132
ऊऔ,2,4.570906182150611e-05
ईआ,69,0.001576962632841961
इर,42,0.0009598902982516284
उज,19,0.0004342360873043081
एफ,115,0.0026282710547366017
ईघ,8,0.00018283624728602444
ओक,21,0.0004799451491258142
ईउ,23,0.0005256542109473203
ऋष,18,0.00041138155639355503
ऐप,37,0.0008456176436978631
अड,31,0.0007084904582333448
इड,59,0.0013484173237344303
इच,26,0.0005942178036795794
ऐल,43,0.0009827448291623814
अत,56,0.0012798537310021712
आच,17,0.00038852702548280196
उथ,28,0.0006399268655010856
आट,6,0.00013712718546451835
ओड,12,0.0002742543709290367
ऐत,14,0.0003199634327505428
ओल,40,0.0009141812364301222
आऔ,14,0.0003199634327505428
ओव,69,0.001576962632841961
ईछ,7,0.0001599817163752714
ऊद,12,0.0002742543709290367
ऊः,1,2.2854530910753055e-05
ओह,4,9.141812364301222e-05
ईओ,9,0.00020569077819677752
ओस,25,0.0005713632727688264
ऐं,6,0.00013712718546451835
आओ,7,0.0001599817163752714
ओऔ,6,0.00013712718546451835
ईऐ,12,0.0002742543709290367
ओब,15,0.00034281796366129587
ऋच,1,2.2854530910753055e-05
एछ,4,9.141812364301222e-05
ओय,2,4.570906182150611e-05
एख,28,0.0006399268655010856
इय,34,0.0007770540509656039
अथ,11,0.00025139984001828363
ओग,9,0.00020569077819677752
औप,3,6.856359273225918e-05
ऐश,33,0.0007541995200548508
ओभ,1,2.2854530910753055e-05
उि,1,2.2854530910753055e-05
उग,19,0.0004342360873043081
इध,7,0.0001599817163752714
एओ,4,9.141812364301222e-05
इश,34,0.0007770540509656039
ऊफ,1,2.2854530910753055e-05
ओख,1,2.2854530910753055e-05
ईठ,2,4.570906182150611e-05
ऋत,3,6.856359273225918e-05
औद,3,6.856359273225918e-05
ओश,20,0.0004570906182150611
आब,14,0.0003199634327505428
ओए,6,0.00013712718546451835
एघ,9,0.00020569077819677752
आअ,2,4.570906182150611e-05
ईध,9,0.00020569077819677752
अय,28,0.0006399268655010856
ईई,2,4.570906182150611e-05
ऐज,1,2.2854530910753055e-05
आफ,7,0.0001599817163752714
अघ,1,2.2854530910753055e-05
इई,1,2.2854530910753055e-05
ऐड,6,0.00013712718546451835
ऊज,2,4.570906182150611e-05
ओअ,2,4.570906182150611e-05
एठ,3,6.856359273225918e-05
इग,22,0.0005027996800365673
औं,1,2.2854530910753055e-05
ऊब,3,6.856359273225918e-05
ओट,1,2.2854530910753055e-05
अा,1,2.2854530910753055e-05
औल,2,4.570906182150611e-05
उफ,2,4.570906182150611e-05
एण,1,2.2854530910753055e-05
ऐम,1,2.2854530910753055e-05
उष,3,6.856359273225918e-05
औस,9,0.00020569077819677752
ऊध,2,4.570906182150611e-05
ऐन,1,2.2854530910753055e-05
ईढ,1,2.2854530910753055e-05
ओे,1,2.2854530910753055e-05
आऊ,1,2.2854530910753055e-05
ऊस,4,9.141812364301222e-05
आघ,1,2.2854530910753055e-05
ओद,1,2.2854530910753055e-05
ऊआ,1,2.2854530910753055e-05
ऊभ,1,2.2854530910753055e-05
ओआ,1,2.2854530910753055e-05
ओत,2,4.570906182150611e-05
ऊन,1,2.2854530910753055e-05
इआ,1,2.2854530910753055e-05
ऋद,4,9.141812364301222e-05
ऊष,1,2.2854530910753055e-05
अछ,1,2.2854530910753055e-05
उअ,1,2.2854530910753055e-05
अठ,1,2.2854530910753055e-05
