digram,frequency,probability
डो,122,0.00023984398345469702
ने,12072,0.02373275875627133
शि,718,0.0014115408206596103
या,9592,0.0188572417155529
जा,3827,0.00752363053017316
वा,5109,0.01004395829073809
ली,2498,0.004910903857949452
पु,1556,0.003058993756192693
लि,4023,0.007908953651133165
सट,129,0.0002536055234889829
टी,1553,0.0030530959533208563
मक,1429,0.0028093201012849346
को,7194,0.014142931286664674
खत,278,0.0005465297327902112
तर,1368,0.002689398109557586
रा,5905,0.011608841986065458
डर,296,0.000581916550021232
रव,1244,0.0024456222575216647
वर,1047,0.0020583332022710474
डस,119,0.0002339461805828602
सर,1769,0.003477737760093107
रग,344,0.0006762813959706211
गन,214,0.0004207099381910259
ना,5583,0.010975811144488307
छो,216,0.0004246418067722504
टा,647,0.001271959486026139
जन,952,0.0018715694446628816
नक,3761,0.00739387886699275
से,7011,0.01378316531148263
पस,372,0.0007313275561077647
सल,831,0.001633691395498797
ला,4540,0.008925341679379709
की,8763,0.01722748218863533
तै,232,0.00045609675542204677
री,4586,0.009015774656747872
लग,1432,0.0028152179041567717
गभ,95,0.0001867637576081657
भग,132,0.00025950332636081973
गप,103,0.00020249123193306386
पू,1061,0.002085856282339619
हो,3568,0.007014453548904581
चु,835,0.001641555132661246
है,10386,0.020418193542299044
बस,580,0.001140241888555117
सी,2293,0.004507887328373936
बी,1279,0.002514429957693094
रम,2002,0.003935800449805765
मु,1844,0.003625182831889027
बई,145,0.00028506047213877926
सक,3915,0.007696632747747039
कट,249,0.0004895176383624554
मब,186,0.00036566377805388235
बा,3725,0.007323105232530708
के,14016,0.027554535017221583
रह,4309,0.008471210858248274
ले,4737,0.009312630734630326
कि,7405,0.014557743421983864
नइ,133,0.000261469260651432
मप,283,0.0005563594042432726
पर,4229,0.008313936114999292
रख,624,0.0012267429973420569
मं,1172,0.002304074988597581
हा,4601,0.009045263671107057
भा,1705,0.003351917965493921
रत,2140,0.004207099381910259
तस,579,0.0011382759542645047
रक,5463,0.010739899029614834
का,9423,0.018524998820439426
रन,2570,0.0050524511268735355
रस,2185,0.004295566424987811
पन,1654,0.0032516553166726954
नी,2346,0.004612081845776387
सु,1136,0.0022333013541355395
षा,374,0.0007352594246889892
ता,5861,0.011522340877278518
कर,7019,0.013798892785807527
गु,533,0.0010478429768963403
रि,2955,0.00580933582875926
शक,900,0.0017693408615510435
जे,1096,0.0021546639825110485
लम,780,0.001533428746677571
मे,9897,0.019456851674189642
बं,549,0.0010792979255461366
दक,888,0.0017457496500636962
ते,2397,0.004712344494597612
जी,1009,0.001983627699227781
मच,139,0.0002732648663951056
चल,589,0.0011579352971706274
लर,544,0.0010694682540930752
सद,783,0.0015393265495494079
दौ,469,0.0009220231822971549
नस,1100,0.0021625277196734975
