ngram,frequency,probability
 क,47239,0.03899141823968674
े ,40672,0.03357096811203749
ी ,29349,0.02422488058419031
ा ,27300,0.022533620905257266
र ,21954,0.018120993163150845
ं ,19795,0.016338938674709435
 ह,19551,0.016137539279072705
 स,18835,0.015546547609909181
 म,17969,0.014831744836870617
 प,14065,0.011609354506682911
के,14016,0.01156890954608373
ने,12072,0.009964317639863213
ें,11643,0.0096102178827806
 ब,10916,0.009010146732666239
 न,10521,0.0086841108257953
है,10386,0.008572680832307765
ार,10012,0.008263978479979332
मे,9897,0.008169056633675134
या,9592,0.00791730738912922
का,9423,0.007777813545430008
ो ,9143,0.007546699484863267
की,8763,0.007233044688379832
 द,8473,0.006993676554221422
 ज,8439,0.006965612704009747
न ,8432,0.006959834852495578
्र,8246,0.0068063090836905284
 र,7705,0.0063597637023812175
 ल,7522,0.006208714155653669
कि,7405,0.006112141494631138
को,7194,0.005937980541846915
से,7011,0.005786930995119366
 अ,6954,0.005739882775646851
कर,6843,0.005648262558779322
स ,6689,0.005521149825467614
ान,6533,0.005392386277437573
ों,6503,0.005367624056662564
र्,6445,0.0053197504298308825
 व,6418,0.0052974644311333755
ल ,6044,0.0049887620788049425
रा,5905,0.004874030455880738
ता,5861,0.0048377125320773935
िय,5793,0.004781584831654042
क ,5790,0.004779108609576541
ना,5583,0.004608249286228986
त ,5545,0.004576883806580643
 ग,5470,0.004514978254643123
वा,5109,0.00421700619798386
 इ,5098,0.004207926717033024
 आ,4942,0.004079163169002982
 उ,4760,0.0039289390296346005
ले,4737,0.003909954660373761
ही,4657,0.0038439220716404063
मा,4637,0.0038274139244570678
स्,4621,0.0038142074067103967
हा,4601,0.003797699259527058
ि ,4595,0.0037927468153720564
री,4586,0.003785318149139554
ला,4540,0.0037473494106178753
 त,4483,0.00370030119114536
म ,4292,0.003542648385544476
िल,4224,0.0034865206851211242
ाल,4208,0.0034733141673744536
पर,4207,0.0034724887600152865
 भ,4172,0.003443599502444444
क्,4098,0.003382519357866091
्य,4064,0.003354455507654415
सा,4028,0.0033247408427244055
लि,4023,0.003320613805928571
और,3888,0.003209183812441035
 औ,3871,0.0031951518873351973
ैं,3868,0.0031926756652576964
जा,3827,0.003158833963531852
ए ,3776,0.0031167381882143386
बा,3725,0.003074642412896825
रे,3694,0.00304905478476265
इस,3637,0.003002006565290135
ां,3601,0.002972291900360125
्ट,3580,0.0029549583458176195
हो,3568,0.0029450534575076164
ई ,3360,0.0027733687268008942
 य,3341,0.0027576859869767227
रह,3319,0.00273952702507505
द ,3303,0.0027263205073283794
 ए,3284,0.0027106377675042074
 थ,3282,0.0027089869527858737
त्,3275,0.0027032091012717053
िस,3200,0.002641303549334185
 च,3185,0.002628922438946681
िक,3136,0.0025884774783475014
 श,3123,0.0025777471826783313
ह ,3090,0.0025505087398258225
ट ,3088,0.0025488579251074887
प्,3081,0.0025430800735933203
भी,3077,0.0025397784441566523
ाम,3026,0.002497682668839139
्त,2987,0.0024654917818316283
ंग,2964,0.002446507412570789
रि,2955,0.0024390787463382867
दि,2895,0.0023895543047882705
 फ,2829,0.002335077419083253
ड़,2818,0.0023259979381324166
दे,2738,0.0022599653493990623
रो,2731,0.002254187497884894
ाय,2729,0.0022525366831665596
ात,2691,0.0022211712035182163
ाद,2579,0.00212872557929152
ली,2498,0.0020618675831989984
वि,2484,0.002050311880170661
पा,2480,0.0020470102507339936
 ख,2431,0.002006565290134814
ते,2397,0.001978501439923138
िए,2387,0.0019702473663314687
य ,2380,0.0019644695148173003
एक,2370,0.001956215441225631
नी,2346,0.0019364056646056244
सक,2319,0.0019141196659081172
सी,2293,0.001892659074569777
हु,2287,0.0018877066304147753
ीं,2279,0.00188110337154144
्म,2279,0.00188110337154144
गा,2254,0.0018604681875622666
उन,2242,0.0018505632992522635
न्,2127,0.0017556414529480663
ती,2110,0.0017416095278422283
यो,2099,0.0017325300468913922
ुल,2092,0.0017267521953772235
ल्,2092,0.0017267521953772235
ित,2066,0.0017052916040388832
ब ,2046,0.0016887834568555446
िर,2028,0.0016739261243905398
ै ,1977,0.0016318303490730263
था,1975,0.0016301795343546925
िन,1967,0.001623576275481357
पी,1896,0.0015649723529805046
कह,1895,0.0015641469456213377
ेश,1885,0.0015558928720296684
मि,1867,0.0015410355395646636
दी,1865,0.0015393847248463299
ग ,1860,0.0015352576880504952
रत,1856,0.0015319560586138274
ज ,1855,0.0015311306512546606
मु,1844,0.0015220511703038242
्व,1831,0.001511320874634654
दा,1827,0.0015080192451979862
नि,1819,0.001501415986324651
ाज,1801,0.0014865586538596461
ंद,1801,0.0014865586538596461
श ,1784,0.0014725267287538082
  ,1778,0.0014675742845988067
ाह,1774,0.001464272655162139
ेक,1737,0.0014337325828729624
भा,1705,0.0014073195473796206
नह,1664,0.0013734778456537763
सर,1661,0.0013710016235762754
अप,1658,0.0013685254014987748
ुर,1646,0.0013586205131887715
व ,1628,0.0013437631807237667
पन,1615,0.0013330328850545965
लो,1607,0.0013264296261812612
रन,1590,0.0013123977010754233
हे,1561,0.0012884608876595823
नक,1560,0.0012876354803004152
पु,1556,0.0012843338508637474
टी,1553,0.0012818576287862468
ति,1550,0.001279381406708746
ट्,1540,0.0012711273331170766
चा,1523,0.0012570954080112387
ास,1522,0.0012562700006520718
ाव,1511,0.0012471905197012356
जि,1505,0.0012422380755462339
सि,1504,0.001241412668187067
ोग,1491,0.0012306823725178968
शा,1471,0.0012141742253345582
 ट,1464,0.0012083963738203896
रक,1459,0.001204269337024555
्ल,1452,0.0011984914855103865
िं,1449,0.0011960152634328857
ंत,1426,0.0011770308941720462
उस,1424,0.0011753800794537124
थ ,1419,0.0011712530426578778
ोन,1416,0.001168776820580377
ाक,1414,0.0011671260058620432
सम,1414,0.0011671260058620432
सं,1394,0.0011506178586787044
्स,1388,0.0011456654145237028
ंक,1383,0.0011415383777278682
ाथ,1374,0.0011341097114953658
ाई,1362,0.0011242048231853625
ूर,1345,0.0011101728980795248
द्,1334,0.0011010934171286884
्ष,1308,0.0010796328257903483
हि,1295,0.0010689025301211781
तो,1285,0.0010606484565295088
फि,1284,0.0010598230491703417
बी,1279,0.001055696012374507
पह,1265,0.00104414030934617
प ,1256,0.0010367116431136676
गय,1256,0.0010367116431136676
्ह,1252,0.0010334100136769999
ेस,1241,0.0010243305327261637
ड ,1236,0.001020203495930329
तर,1235,0.0010193780885711622
ाब,1231,0.0010160764591344944
लग,1227,0.0010127748296978266
ंड,1178,0.0009723298690986469
ोर,1172,0.0009673774249436453
मं,1172,0.0009673774249436453
खा,1161,0.000958297943992809
ग्,1154,0.0009525200924786405
च ,1152,0.0009508692777603066
नो,1142,0.0009426152041686373
सु,1136,0.0009376627600136357
 घ,1123,0.0009269324643444657
दो,1122,0.0009261070569852987
हम,1107,0.0009137259465977947
ये,1106,0.0009129005392386277
यह,1105,0.0009120751318794608
फ ,1100,0.0009079480950836262
जे,1096,0.0009046464656469584
धा,1090,0.0008996940214919568
ंस,1085,0.0008955669846961222
 ड,1081,0.0008922653552594544
ीन,1069,0.0008823604669494512
पू,1061,0.0008757572080761158
ेन,1056,0.0008716301712802811
हर,1050,0.0008666777271252795
थी,1048,0.0008650269124069456
मल,1037,0.0008559474314561094
मी,1033,0.0008526458020194416
्क,1027,0.0008476933578644401
ेट,1019,0.0008410900989911046
कु,1016,0.0008386138769136038
वर,1015,0.0008377884695544369
जी,1009,0.0008328360253994353
ुन,1004,0.0008287089886036006
वी,995,0.0008212803223710982
हत,994,0.0008204549150119312
वह,989,0.0008163278782160966
िव,985,0.0008130262487794289
डि,968,0.000798994323673591
श्,966,0.0007973435089552571
ीज,964,0.0007956926942369232
मो,960,0.0007923910648002556
्थ,960,0.0007923910648002556
बि,959,0.0007915656574410886
ाए,955,0.0007882640280044208
िश,951,0.0007849623985677532
गे,946,0.0007808353617719185
ाइ,940,0.0007758829176169169
ुक,938,0.000774232102898583
गी,930,0.0007676288440252476
जर,926,0.0007643272145885798
ू ,926,0.0007643272145885798
हल,915,0.0007552477336377436
ेत,914,0.0007544223262785767
दर,910,0.0007511206968419089
आर,905,0.0007469936600460743
बन,902,0.0007445174379685734
गो,889,0.0007337871422994033
पत,866,0.0007148027730385639
जन,862,0.0007115011436018961
टे,861,0.0007106757362427292
ण ,861,0.0007106757362427292
ाफ,858,0.0007081995141652284
रु,856,0.0007065486994468945
ेर,855,0.0007057232920877276
शन,849,0.000700770847932726
ंट,848,0.0006999454405735591
वे,848,0.0006999454405735591
ंच,843,0.0006958184037777244
टर,842,0.0006949929964185574
बे,841,0.0006941675890593905
बर,841,0.0006941675890593905
बत,836,0.0006900405522635559
चु,835,0.0006892151449043889
तक,828,0.0006834372933902204
मह,823,0.0006793102565943857
्च,818,0.0006751832197985511
कत,816,0.0006735324050802172
ेल,809,0.0006677545535660487
रू,795,0.0006561988505377116
यू,794,0.0006553734431785446
पि,780,0.0006438177401502076
ौर,776,0.0006405161107135399
ीत,772,0.0006372144812768722
ोप,767,0.0006330874444810375
जो,761,0.0006281350003260359
ीर,757,0.0006248333708893681
़ ,757,0.0006248333708893681
यर,754,0.0006223571488118674
ंन,737,0.0006083252237060296
गई,736,0.0006074998163468626
म्,734,0.0006058490016285287
