pattern,frequency,probability
VVV,60485,0.07468335049624268
VVM,109724,0.13548079606265573
VVS,3549,0.004382098221231136
VMV,238108,0.2940018718683864
VMM,30233,0.037329945202164254
VMS,22161,0.027363110363680814
VSV,10812,0.013350027040842784
VSM,528,0.0006519436068780051
VSS,554,0.000684046890550028
MVV,90395,0.11161447413586603
MVM,148173,0.18295537890517924
MVS,5537,0.006836764680461201
MMV,24275,0.029973354274552222
MMM,4,4.938966718772765e-06
MMS,2486,0.0030695678157172737
MSV,21255,0.026244434401878784
MSM,1697,0.0020953566304393457
MSS,1167,0.0014409435402019544
SVV,18807,0.02322178676998985
SVM,13182,0.01627636482171565
SVS,2425,0.0029942485732559893
SMV,2378,0.0029362157143104093
SMM,1,1.2347416796931913e-06
SMS,52,6.420656734404596e-05
SSV,1575,0.0019447181455167764
SSM,120,0.00014816900156318296
SSS,203,0.00025065256097771786
