triagram,frequency,probability
टीम,215,0.005271158183779543
लिए,1476,0.03618711385701677
रहा,668,0.016377365891928997
जेल,99,0.0024271844660194173
में,8422,0.20648229871530843
बंद,113,0.002770422673335295
काम,289,0.007085417279592037
चयन,11,0.00026968716289104636
गया,866,0.021231734823967834
रही,818,0.02005491811317054
रहे,763,0.01870648229871531
बात,451,0.011057173678532902
आने,152,0.0037265862508580956
किए,215,0.005271158183779543
जगह,92,0.0022555653623614787
खास,97,0.0023781504364028634
जिस,104,0.0025497695400608024
वजह,221,0.005418260272629205
हुए,687,0.016843189173286262
दबी,2,4.903402961655389e-05
लोग,261,0.006398940864960283
बाद,1091,0.026748063155830146
दिए,115,0.0028194567029518488
जता,7,0.00017161910365793862
हुआ,282,0.0069137981759340985
इंच,9,0.0002206531332744925
फोन,105,0.0025742865548690794
तरह,318,0.0077964107090320684
चार,110,0.002696871628910464
सभी,284,0.006962832205550652
रखा,100,0.002451701480827694
ढंग,14,0.00034323820731587724
अगर,192,0.004707266843189173
तौर,122,0.0029910758066097874
वोट,85,0.00208394625870354
मिल,105,0.0025742865548690794
दिख,37,0.000907129547906247
खात,4,9.806805923310778e-05
पोल,32,0.0007845444738648623
हाथ,90,0.002206531332744925
नजर,217,0.005320192213396097
बार,322,0.007894478768265175
बीच,289,0.007085417279592037
कुल,72,0.00176522506619594
जीत,91,0.0022310483475532017
हैं,751,0.018412278121015986
महज,47,0.0011522996959890163
रूप,161,0.003947239384132588
मान,14,0.00034323820731587724
नया,59,0.0014465038736883398
साथ,1046,0.025644797489457683
देश,294,0.007208002353633422
मैं,262,0.00642345787976856
कुछ,490,0.012013337256055703
आगे,127,0.003113660880651172
हूं,79,0.0019368441698538786
ऐसे,219,0.005369226243012651
खुद,132,0.003236245954692557
दूर,66,0.0016181229773462784
उठे,6,0.00014710208884966165
कही,27,0.0006619593998234775
कहा,931,0.022825340786505836
हुई,324,0.00794351279788173
ऐसा,182,0.0044620966951064035
जून,78,0.0019123271550456017
अंत,18,0.000441306266548985
इसे,132,0.003236245954692557
नाम,301,0.00737962145729136
कोई,431,0.010566833382367363
शहर,70,0.0017161910365793862
भला,8,0.00019613611846621556
हाई,56,0.001372952829263509
उठा,33,0.0008090614886731392
अलग,77,0.0018878101402373248
कौन,39,0.0009561635775228008
फिर,276,0.006766696087084437
बनी,44,0.0010787486515641855
उसे,275,0.00674217907227616
हटा,24,0.0005884083553986466
अभी,161,0.003947239384132588
पाई,22,0.0005393743257820927
जोन,11,0.00026968716289104636
अमल,9,0.0002206531332744925
शेर,21,0.0005148573109738158
रूक,4,9.806805923310778e-05
साल,443,0.010861037560066686
गिर,32,0.0007845444738648623
बने,56,0.001372952829263509
सका,12,0.0002942041776993233
मौत,203,0.004976954006080219
खाट,9,0.0002206531332744925
ऊपर,31,0.0007600274590565853
चला,70,0.0017161910365793862
नईम,8,0.00019613611846621556
गृह,52,0.0012748847700304012
चीफ,20,0.0004903402961655388
पता,140,0.0034323820731587723
लगी,46,0.0011277826811807393
नही,13,0.0003187211925076003
असर,38,0.0009316465627145239
कमी,38,0.0009316465627145239
दिन,266,0.0065215259390016675
