trigram,frequency,probability
ंडो,47,0.00015932743482829928
ोने,513,0.001739042001423777
ेशि,83,0.00028136547001593275
िया,3978,0.013485202888233499
ाजा,862,0.002922132953659446
ाने,1785,0.006051052578053493
ेवा,815,0.002762805518831147
ाली,437,0.0014814061493609954
ीपु,200,0.0006779890843757416
ुलि,994,0.0033696057493474356
िसट,10,3.3899454218787076e-05
ीमक,204,0.0006915488660632564
ोखत,22,7.457879928133157e-05
ंडर,125,0.0004237431777348385
ाछो,13,4.40692904844232e-05
ोटा,57,0.00019322688904708634
ारा,750,0.002542459066409031
ाजन,196,0.0006644293026882267
ोइं,28,9.491847181260381e-05
ासे,306,0.0010373232990948846
ापस,111,0.00037628394182853654
ेकी,1125,0.0038136885996135463
ीतै,77,0.0002610257974846605
ैया,209,0.0007084985931726499
ारी,1200,0.004067934506254449
ीलग,106,0.000359334214719143
ूरी,264,0.0008949455913759789
ीहो,238,0.0008068070104071324
ोचु,114,0.0003864537780941727
ुकी,123,0.00041696328689108105
ीहै,2240,0.0075934777450083054
ीबी,194,0.0006576494118444693
ीआई,151,0.0005118817587036849
ुंब,140,0.0004745923590630191
ंबई,136,0.00046103257737550423
िसक,539,0.0018271805823926236
ीएक,275,0.0009322349910166446
ीमब,12,4.067934506254449e-05
ीजा,591,0.0020034577443303163
ेके,1682,0.005701888199599986
ेलि,1593,0.005400183057052781
िएत,52,0.0001762771619376928
ारह,958,0.003247567714159802
ेकि,959,0.0032509576595816806
िनइ,79,0.0002678056883284179
ीमप,28,9.491847181260381e-05
ामं,75,0.0002542459066409031
ाहै,3480,0.011797010068137903
ीलि,67,0.00022712634326587343
िएभ,79,0.0002678056883284179
ारत,677,0.0022949930506118853
ारन,387,0.0013119088782670599
ेइं,96,0.00032543476050035593
ासर,96,0.00032543476050035593
ारस,311,0.0010542730262042782
ेअप,410,0.00138987762297027
ीटी,164,0.0005559510491881081
ीसु,182,0.0006169700667819248
ुरक,255,0.0008644360825790704
ाको,513,0.001739042001423777
ोपु,32,0.00010847825350011864
ाकर,834,0.002827214481846842
ीगु,60,0.00020339672531272246
ुजा,47,0.00015932743482829928
ारि,497,0.0016848028746737178
िशक,166,0.0005627309400318655
ीकी,858,0.0029085731719719313
ीजे,470,0.0015932743482829927
ेलम,69,0.00023390623410963083
ेंब,575,0.0019492186175802569
ंबं,155,0.0005254415403911998
ंदक,156,0.0005288314858130784
ापर,284,0.000962744499813553
ेजी,110,0.0003728939964066579
ीसे,504,0.0017085324926268688
ेका,966,0.0032746872775348316
ामच,24,8.135869012508898e-05
ौरा,371,0.0012576697515170006
ानस,349,0.001183090952235669
ाइम,56,0.00018983694362520763
ांच,400,0.0013559781687514831
ंचक,170,0.0005762907217193804
ेउन,233,0.0007898572832977389
िका,1035,0.0035085935116444624
ियो,1187,0.004023865215770026
ोंक,3104,0.010522390589511509
ंका,768,0.0026034780840028474
ाचय,6,2.0339672531272246e-05
ागय,876,0.002969592189565748
ोछो,15,5.0849181328180614e-05
ोला,74,0.0002508559612190244
िएइ,46,0.00015593748940642056
ाएं,320,0.0010847825350011864
ंगे,503,0.00170514254720499
िनख,8,2.711956337502966e-05
ुफि,21,7.118885385945287e-05
ासू,23,7.796874470321028e-05
ोंस,412,0.0013966575138140275
ंसे,602,0.002040747143970982
ेपु,114,0.0003864537780941727
ोसू,15,5.0849181328180614e-05
ूचन,69,0.00023390623410963083
ामि,361,0.0012237702972982135
िली,308,0.001044103189938642
ैकि,994,0.0033696057493474356
िरा,276,0.0009356249364385233
ेले,206,0.0006983287569070137
ेने,579,0.0019627783992677717
िएब,98,0.00033221465134411336
ेबा,1471,0.004986609715583579
ादल,55,0.00018644699820332894
ेहै,1638,0.005552730601037324
ंरा,124,0.00042035323231295977
ेहो,196,0.0006644293026882267
ोगए,140,0.0004745923590630191
ंचऔ,2,6.779890843757415e-06
ेइस,452,0.0015322553306891759
ोगं,15,5.0849181328180614e-05
ंभी,319,0.0010813925895793077
ीरत,22,7.457879928133157e-05
ेचल,129,0.0004373029594223533
ेभा,147,0.00049832197701617
ातक,460,0.0015593748940642056
िबा,33,0.00011186819892199736
ीआन,21,7.118885385945287e-05
ीभा,76,0.0002576358520627818
ीयट,12,4.067934506254449e-05
ाके,1138,0.0038577578900979696
ाइं,114,0.0003864537780941727
ंतज,62,0.00021017661615647988
ामक,402,0.0013627580595952406
िएज,142,0.0004813722499067765
ेसद,101,0.0003423844876097495
ंके,1247,0.004227261941082749
ेरह,196,0.0006644293026882267
ीजग,46,0.00015593748940642056
िहा,326,0.0011051222075324587
ाजस,133,0.00045086274110986814
ेबे,164,0.0005559510491881081
ेहत,113,0.00038306383267229396
ेमद,30,0.00010169836265636123
ेनज,61,0.00020678667073460117
ासन,142,0.0004813722499067765
िगर,15,5.0849181328180614e-05
ानी,681,0.0023085528322994
िसख,3,1.0169836265636123e-05
ीआश,27,9.152852639072511e-05
ासु,83,0.00028136547001593275
ुनि,148,0.0005017119224380488
ितक,331,0.0011220719346418523
ाअन,30,0.00010169836265636123
ुरो,11,3.7289399640665783e-05
ोधक,96,0.00032543476050035593
ीवज,188,0.0006373097393131971
ैसा,53,0.0001796671073595715
ाखत,26,8.81385809688464e-05
ालप,119,0.0004034035052035662
ेअध,122,0.00041357334146920234
