trigram,frequency,probability
इंड,264,0.006814134166171953
अंड,19,0.0004904111710502542
अबस,41,0.001058255684897917
आईऔ,9,0.0002323000283922257
ईऔर,69,0.001780966884340397
औरम,204,0.005265467310223783
ईपु,22,0.0005678445138476628
एकट,34,0.0008775778850372971
एतै,25,0.0006452778566450714
इसट,24,0.0006194667423792685
इसी,193,0.004981545053299951
एभा,28,0.0007227111994424799
अपन,1279,0.03301241514596185
इसद,134,0.0034586893116175825
औरक,293,0.007562656479880236
इमब,7,0.00018067779986061998
उनअ,2,5.162222853160571e-05
अधि,335,0.008646723279043957
एइं,13,0.0003355444854554371
एंग,183,0.004723433910641922
एबा,16,0.0004129778282528457
एहै,329,0.00849185659344914
औरस,269,0.006943189737500968
आईन,28,0.0007227111994424799
ईने,41,0.001058255684897917
इसस,383,0.009885656763802493
इसब,292,0.007536845365614433
आने,155,0.004000722711199442
इंत,53,0.0013679890560875513
एजा,171,0.004413700539452288
आशं,32,0.0008259556565056914
अनु,238,0.00614304519526108
आईक,64,0.0016519113130113827
ईके,146,0.0037684226828072166
इसम,365,0.009421056707018042
एकव,93,0.0024004336267196653
आभा,7,0.00018067779986061998
इंच,14,0.00036135559972123995
एचड,9,0.0002323000283922257
औरआ,114,0.0029424670263015255
आजभ,12,0.00030973337118963423
इसक,818,0.021113491469426735
इसह,68,0.0017551557700745941
एलस,4,0.00010324445706321142
औरप,240,0.006194667423792685
उपल,24,0.0006194667423792685
इसफ,124,0.003200578168959554
इवट,1,2.5811114265802855e-05
उनक,958,0.024727047466639136
एसब,16,0.0004129778282528457
अला,177,0.004568567225047105
एबि,14,0.00036135559972123995
ईमे,101,0.002606922540846088
एडू,2,5.162222853160571e-05
अलए,2,5.162222853160571e-05
एलई,4,0.00010324445706321142
ईडी,21,0.0005420333995818599
इटह,18,0.0004646000567844514
औरइ,154,0.00397491159693364
एकक,122,0.0031489559404279483
उनल,19,0.0004904111710502542
आएग,28,0.0007227111994424799
एगा,188,0.004852489481970937
