trigram,frequency,probability
डोन,48,0.00010080772187149536
नेश,226,0.0004746363571449573
शिय,59,0.00012390949146704638
याज,529,0.0011109851014587718
जान,853,0.0017914372240913654
नेव,790,0.0016591270891350277
वाल,1264,0.002654603342616044
लीप,127,0.00026672043078499814
पुल,1029,0.0021610655376201817
लिस,1066,0.002238771489896126
सटी,74,0.00015541190455188868
टीम,305,0.00064054906605846
मको,234,0.0004914376441235398
कोख,106,0.0002226170524662189
खतर,68,0.00014281093931795176
तरा,132,0.0002772212351466122
डरव,14,2.940225221251948e-05
रवर,96,0.00020161544374299072
डसर,5,1.05008043616141e-05
सरग,18,3.780289570181076e-05
रगन,6,1.260096523393692e-05
गना,52,0.00010920836536078663
नाछ,9,1.890144785090538e-05
छोट,89,0.00018691431763673098
टार,103,0.00021631656984925045
राज,991,0.0020812594244719144
जनक,87,0.00018271399589208533
नको,315,0.0006615506747816883
कोइ,124,0.0002604199481680297
यास,221,0.0004641355527833432
सेव,217,0.0004557349092940519
वाप,94,0.00019741512199834507
पसल,25,5.25040218080705e-05
सला,202,0.0004242324962092096
लान,353,0.0007413567879299554
नेक,3612,0.007585781070830026
कीत,393,0.0008253632228228682
तैय,156,0.0003276250960823599
यार,360,0.0007560579140362152
रील,55,0.00011550884797775509
लगभ,60,0.0001260096523393692
गभग,60,0.0001260096523393692
भगप,4,8.40064348929128e-06
गपू,5,1.05008043616141e-05
पूर,762,0.0016003225847099887
रीह,203,0.00042633265708153244
होच,93,0.00019531496112602226
चुक,304,0.0006384489051861372
कीह,624,0.0013105003843294396
बसी,28,5.880450442503896e-05
सीब,172,0.00036122767003952505
बीआ,88,0.00018481415676440815
रमु,180,0.0003780289570181076
मुं,173,0.00036332783091184783
बईप,12,2.520193046787384e-05
सकी,577,0.0012117928233302672
कीए,131,0.00027512107427428943
कटी,27,5.670434355271614e-05
मबा,32,6.720514791433024e-05
बाल,116,0.0002436186611894471
लीज,203,0.00042633265708153244
केल,1622,0.003406460934907614
लिए,1593,0.003345556269610252
रहै,309,0.0006489497095477514
लेक,1721,0.003614376861267573
किन,793,0.0016654275717519961
नइस,87,0.00018271399589208533
मपर,133,0.00027932139601893506
परख,52,0.00010920836536078663
रखत,48,0.00010080772187149536
राम,502,0.0010542807579060555
मंड,47,9.870756099917253e-05
डरा,19,3.9903056574133576e-05
रार,200,0.000420032174464564
रहा,766,0.00160872322819928
हाह,619,0.0012999995799678255
सील,66,0.0001386106175733061
भार,664,0.0013945068192223525
रतस,36,7.560579140362152e-05
तसर,36,7.560579140362152e-05
सरक,739,0.001552018884646564
रका,1248,0.0026210007686588792
कार,2430,0.005103390919744453
