word,frequency,probability
के,10946,0.05812909906800138
में,8144,0.04324898436047901
की,6851,0.036382464618570934
को,5213,0.027683810838798756
ने,4581,0.02432755370276944
से,4547,0.024146995565704574
और,3879,0.020599559225724224
का,3456,0.01835320357929954
पर,3032,0.01610153739943177
कि,2960,0.0157191789915297
भी,2276,0.012086774116459998
है,1991,0.010573272085180956
इस,1898,0.010079392474974112
एक,1867,0.009914765938238496
कर,1753,0.009309365125726879
नहीं,1520,0.008072010833488224
लिए,1428,0.007583441756724463
ही,1312,0.006967419877326677
हो,1134,0.006022144924457662
किया,1084,0.005756618252303444
बाद,1061,0.005634475983112504
साथ,1017,0.005400812511616792
पुलिस,927,0.0049228645017391996
तो,925,0.004912243434853031
कहा,910,0.004832585433206766
करने,871,0.004625474628926476
गया,841,0.004466158625633945
यह,782,0.004152837152491968
रही,770,0.0040891107511749555
रहे,742,0.003940415814768594
हैं,725,0.0038501367462361593
ये,681,0.0036164732747404477
हुए,674,0.0035792995406388572
अपने,672,0.0035686784737526886
लेकिन,661,0.0035102626058787605
तक,642,0.003409362470460158
रहा,637,0.003382809803244736
जा,627,0.0033297044688138924
सरकार,621,0.003297841268155386
दिया,602,0.0031969411327367834
पहले,577,0.0030641777966596744
अब,538,0.0028570669923793845
वह,522,0.0027720984572900346
लोगों,487,0.0025862297867820824
कुछ,481,0.002554366586123576
गई,471,0.0025012612516927325
इसके,454,0.0024109821831602984
कई,440,0.0023366347149571176
वाले,440,0.0023366347149571176
बात,437,0.0023207031146278644
लेकर,435,0.0023100820477416958
साल,426,0.0022622872467539363
कोई,422,0.002241045112981599
होने,421,0.0022357345795385145
उनके,414,0.002198560845436924
था,413,0.00219325031199384
मामले,412,0.0021879397785507554
गए,406,0.002156076577892249
मोदी,406,0.002156076577892249
अपनी,393,0.0020870396431321527
जो,392,0.002081729109689068
बताया,387,0.0020551764424736464
जब,373,0.0019808289742704655
बीजेपी,371,0.001970207907384297
करते,366,0.0019436552401688749
किसी,344,0.001826823504421019
खिलाफ,340,0.0018055813706486816
दो,338,0.001794960303762513
उसके,336,0.0017843392368763443
दोनों,332,0.0017630971031040068
दौरान,332,0.0017630971031040068
दी,327,0.001736544435888585
उनकी,327,0.001736544435888585
सिंह,325,0.0017259233690024164
भारत,324,0.0017206128355593318
हुई,314,0.0016675075011284885
बार,314,0.0016675075011284885
वो,313,0.001662196967685404
तरह,311,0.0016515759007992353
नाम,295,0.0015666073657098856
देश,289,0.0015347441650513795
चुनाव,289,0.0015347441650513795
काम,282,0.0014975704309497888
बीच,278,0.0014763282971774515
सभी,278,0.0014763282971774515
हुआ,275,0.0014603966968481984
फिर,271,0.001439154563075861
उसे,269,0.0014285334961896923
इन,267,0.0014179124293035236
घर,262,0.0013913597620881018
दिन,260,0.001380738695201933
जाने,254,0.0013488754945434269
लोग,251,0.001332943894214174
मैं,247,0.0013117017604418364
आप,246,0.001306391226998752
पास,239,0.0012692174928971615
देने,238,0.0012639069594540771
जांच,233,0.0012373542922386553
लिया,231,0.0012267332253524867
आ,228,0.0012108016250232335
शुरू,226,0.001200180558137065
वाली,225,0.0011948700246939806
शामिल,223,0.0011842489578078117
समय,222,0.0011789384243647274
सामने,220,0.0011683173574785588
राहुल,220,0.0011683173574785588
बारे,219,0.0011630068240354745
यहां,216,0.0011470752237062213
ऐसे,215,0.001141764690263137
रुपये,215,0.001141764690263137
या,214,0.0011364541568200527
काफी,214,0.0011364541568200527
वजह,213,0.0011311436233769681
उस,213,0.0011311436233769681
किए,211,0.0011205225564907995
वे,210,0.0011152120230477152
सबसे,210,0.0011152120230477152
नजर,208,0.0011045909561615463
आरोपी,208,0.0011045909561615463
इससे,204,0.001083348822389209
आरोप,203,0.0010780382889461245
वहीं,202,0.0010727277555030402
भारतीय,198,0.001051485621730703
सकता,196,0.001040864554844534
न,194,0.0010302434879583655
टीम,194,0.0010302434879583655
बता,193,0.0010249329545152812
करना,191,0.0010143118876291123
जाता,191,0.0010143118876291123
मौत,191,0.0010143118876291123
अगर,188,0.0009983802872998594
खान,186,0.0009877592204136905
नेता,185,0.0009824486869706062
ओर,180,0.0009558960197551844
इसी,180,0.0009558960197551844
अपना,179,0.0009505854863121001
ऐसा,177,0.0009399644194259313
महिला,177,0.0009399644194259313
थी,175,0.0009293433525397626
