word,frequency,probability
के,10946,0.0558785843002925
में,8144,0.0415745651874275
की,6851,0.0349738882734609
को,5213,0.0266120098627283
ने,4581,0.023385692917928
से,4547,0.0232121252341887
और,3879,0.0198020307418997
का,3456,0.0176426445589083
पर,3032,0.0154781534440422
कि,2960,0.015110598349065
भी,2276,0.011618824946781
है,1991,0.0101639193624961
इस,1898,0.0096891606981504
एक,1867,0.0095309078100352
कर,1753,0.0089489455763212
नहीं,1520,0.0077594964495198
लिए,1428,0.0072898427170489
ही,1312,0.0066976706195855
हो,1134,0.0057889927458918
किया,1084,0.0055337461521576
बाद,1061,0.0054163327190398
साथ,1017,0.0051917157165537
पुलिस,927,0.0047322718478321
तो,925,0.0047220619840828
कहा,910,0.0046454880059625
करने,871,0.0044463956628498
गया,841,0.0042932477066093
यह,782,0.0039920567260029
रही,770,0.0039307975435067
रहे,742,0.0037878594510156
हैं,725,0.0037010756091459
ये,681,0.0034764586066598
हुए,674,0.0034407240835371
अपने,672,0.0034305142197877
लेकिन,661,0.0033743599691662
तक,642,0.0032773662635472
रहा,637,0.0032518416041737
जा,627,0.0032007922854269
सरकार,621,0.0031701626941788
दिया,602,0.0030731689885598
पहले,577,0.0029455456916927
अब,538,0.00274645334858
वह,522,0.0026647744385851
लोगों,487,0.0024861018229711
कुछ,481,0.002455472231723
गई,471,0.0024044229129762
इसके,454,0.0023176390711065
वाले,440,0.002246170024861
कई,440,0.002246170024861
बात,437,0.0022308552292369
लेकर,435,0.0022206453654875
साल,426,0.0021747009786154
कोई,422,0.0021542812511167
होने,421,0.002149176319242
उनके,414,0.0021134417961192
था,413,0.0021083368642445
मामले,412,0.0021032319323698
गए,406,0.0020726023411217
मोदी,406,0.0020726023411217
अपनी,393,0.0020062382267508
जो,392,0.0020011332948761
बताया,387,0.0019756086355027
जब,373,0.0019041395892571
बीजेपी,371,0.0018939297255078
करते,366,0.0018684050661343
किसी,344,0.0017560965648913
खिलाफ,340,0.0017356768373926
दो,338,0.0017254669736432
उसके,336,0.0017152571098938
दोनों,332,0.0016948373823951
दौरान,332,0.0016948373823951
दी,327,0.0016693127230217
उनकी,327,0.0016693127230217
सिंह,325,0.0016591028592723
भारत,324,0.0016539979273976
बार,314,0.0016029486086508
हुई,314,0.0016029486086508
वो,313,0.0015978436767761
तरह,311,0.0015876338130267
नाम,295,0.0015059549030318
देश,289,0.0014753253117837
चुनाव,289,0.0014753253117837
काम,282,0.0014395907886609
सभी,278,0.0014191710611621
बीच,278,0.0014191710611621
हुआ,275,0.0014038562655381
फिर,271,0.0013834365380394
उसे,269,0.00137322667429
इन,267,0.0013630168105406
घर,262,0.0013374921511672
दिन,260,0.0013272822874178
जाने,254,0.0012966526961697
लोग,251,0.0012813379005457
मैं,247,0.0012609181730469
आप,246,0.0012558132411722
पास,239,0.0012200787180495
देने,238,0.0012149737861748
जांच,233,0.0011894491268014
लिया,231,0.001179239263052
आ,228,0.0011639244674279
शुरू,226,0.0011537146036786
वाली,225,0.0011486096718039
शामिल,223,0.0011383998080545
समय,222,0.0011332948761798
सामने,220,0.0011230850124305
राहुल,220,0.0011230850124305
बारे,219,0.0011179800805558
यहां,216,0.0011026652849317
ऐसे,215,0.001097560353057
रुपये,215,0.001097560353057
काफी,214,0.0010924554211824
या,214,0.0010924554211824
उस,213,0.0010873504893077
वजह,213,0.0010873504893077
किए,211,0.0010771406255583
वे,210,0.0010720356936836
सबसे,210,0.0010720356936836
नजर,208,0.0010618258299342
आरोपी,208,0.0010618258299342
इससे,204,0.0010414061024355
आरोप,203,0.0010363011705608
वहीं,202,0.0010311962386861
भारतीय,198,0.0010107765111874
सकता,196,0.001000566647438
टीम,194,0.0009903567836887
न,194,0.0009903567836887
बता,193,0.000985251851814
जाता,191,0.0009750419880646
करना,191,0.0009750419880646
मौत,191,0.0009750419880646
अगर,188,0.0009597271924406
खान,186,0.0009495173286912
नेता,185,0.0009444123968165
हालांकि,184,0.0009393074649418
इसी,180,0.0009188877374431
ओर,180,0.0009188877374431
अपना,179,0.0009137828055684
महिला,177,0.000903572941819
ऐसा,177,0.000903572941819
थी,175,0.0008933630780697
बहुत,174,0.000888258146195
जारी,171,0.0008729433505709
तीन,171,0.0008729433505709
परिवार,170,0.0008678384186963
मुताबिक,169,0.0008627334868216
अलावा,169,0.0008627334868216
हम,168,0.0008576285549469
उसकी,168,0.0008576285549469
होता,168,0.0008576285549469
उनका,167,0.0008525236230722
शादी,167,0.0008525236230722
आतंकी,166,0.0008474186911975
मांग,165,0.0008423137593228
पिछले,164,0.0008372088274481
जानकारी,164,0.0008372088274481
घटना,162,0.0008269989636988
कम,162,0.0008269989636988
वहां,162,0.0008269989636988
करीब,161,0.0008218940318241
इंडिया,160,0.0008167890999494
आज,159,0.0008116841680747
हमले,159,0.0008116841680747
अभी,159,0.0008116841680747
सकते,159,0.0008116841680747
कहना,159,0.0008116841680747
पीएम,157,0.0008014743043254
सकती,156,0.0007963693724507
लाख,152,0.0007759496449519
मीडिया,151,0.0007708447130773
रूप,150,0.0007657397812026
गांधी,150,0.0007657397812026
आपको,149,0.0007606348493279
मामला,148,0.0007555299174532
थे,148,0.0007555299174532
पूरी,148,0.0007555299174532
यादव,147,0.0007504249855785
आने,147,0.0007504249855785
दें,145,0.0007402151218291
मां,145,0.0007402151218291
जहां,144,0.0007351101899545
विरोध,143,0.0007300052580798
जबकि,143,0.0007300052580798
दूसरे,142,0.0007249003262051
दे,142,0.0007249003262051
इसमें,140,0.0007146904624557
कुमार,140,0.0007146904624557
हर,140,0.0007146904624557
पिता,139,0.000709585530581
चल,139,0.000709585530581
पता,137,0.0006993756668317
लगा,136,0.000694270734957
तरफ,136,0.000694270734957
कारण,135,0.0006891658030823
दिनों,134,0.0006840608712076
बयान,134,0.0006840608712076
इलाके,134,0.0006840608712076
कोशिश,133,0.0006789559393329
वीडियो,132,0.0006738510074583
मदद,132,0.0006738510074583
रहने,132,0.0006738510074583
रिलीज,131,0.0006687460755836
उसने,130,0.0006636411437089
इसे,127,0.0006483263480848
केस,127,0.0006483263480848
गांव,126,0.0006432214162102
इसलिए,126,0.0006432214162102
मुझे,126,0.0006432214162102
सवाल,126,0.0006432214162102
खुद,126,0.0006432214162102
शेयर,126,0.0006432214162102
मुंबई,125,0.0006381164843355
जिसमें,125,0.0006381164843355
पूरे,125,0.0006381164843355
आगे,124,0.0006330115524608
विधानसभा,124,0.0006330115524608
पहली,123,0.0006279066205861
बिहार,122,0.0006228016887114
आए,120,0.000612591824962
ले,120,0.000612591824962
ना,119,0.0006074868930874
तौर,118,0.0006023819612127
इसकी,117,0.000597277029338
तब,116,0.0005921720974633
बनाने,116,0.0005921720974633
जैसे,115,0.0005870671655886
दूसरी,113,0.0005768573018393
फैसला,113,0.0005768573018393
सेना,113,0.0005768573018393
अमेरिका,113,0.0005768573018393
बंद,112,0.0005717523699646
तहत,112,0.0005717523699646
सुनवाई,112,0.0005717523699646
लगातार,112,0.0005717523699646
विधायक,111,0.0005666474380899
रात,111,0.0005666474380899
दिए,109,0.0005564375743405
कंपनी,108,0.0005513326424658
आया,108,0.0005513326424658
करता,108,0.0005513326424658
महीने,108,0.0005513326424658
होती,107,0.0005462277105912
इसका,106,0.0005411227787165
कभी,105,0.0005360178468418
यूपी,105,0.0005360178468418
चार,105,0.0005360178468418
बना,105,0.0005360178468418
राम,104,0.0005309129149671
वाला,103,0.0005258079830924
रेप,103,0.0005258079830924
जवाब,103,0.0005258079830924
जिस,102,0.0005207030512177
खबर,102,0.0005207030512177
आई,102,0.0005207030512177
हाल,102,0.0005207030512177
करके,102,0.0005207030512177
फीसदी,101,0.000515598119343
जिले,100,0.0005104931874684
मिल,100,0.0005104931874684
चुके,100,0.0005104931874684
बाहर,100,0.0005104931874684
साफ,99,0.0005053882555937
फोन,99,0.0005053882555937
चुकी,98,0.000500283323719
रन,97,0.0004951783918443
करती,97,0.0004951783918443
जरिए,96,0.0004900734599696
रखा,96,0.0004900734599696
मंदिर,96,0.0004900734599696
शो,96,0.0004900734599696
उसका,96,0.0004900734599696
लगाया,96,0.0004900734599696
जेल,96,0.0004900734599696
मिलने,95,0.0004849685280949
दुनिया,95,0.0004849685280949
मेरे,95,0.0004849685280949
सीट,93,0.0004747586643456
लेने,93,0.0004747586643456
सुबह,92,0.0004696537324709
खास,92,0.0004696537324709
चुका,92,0.0004696537324709
सोशल,92,0.0004696537324709
कोरोना,92,0.0004696537324709
जाती,91,0.0004645488005962
पीछे,90,0.0004594438687215
अधिकारी,90,0.0004594438687215
आम,90,0.0004594438687215
शिकायत,90,0.0004594438687215
पूरा,90,0.0004594438687215
उन,90,0.0004594438687215
मुलाकात,89,0.0004543389368468
लोकसभा,89,0.0004543389368468
जगह,89,0.0004543389368468
अधिकारियों,89,0.0004543389368468
जनता,88,0.0004492340049722
मिली,88,0.0004492340049722
हाथ,88,0.0004492340049722
आरोपियों,87,0.0004441290730975
देते,87,0.0004441290730975
जरूरत,87,0.0004441290730975
मौजूद,86,0.0004390241412228
जीत,86,0.0004390241412228
चाहते,86,0.0004390241412228
ऐसी,85,0.0004339192093481
कपूर,85,0.0004339192093481
जिसके,85,0.0004339192093481
जाते,84,0.0004288142774734
ली,84,0.0004288142774734
सलमान,84,0.0004288142774734
बेटी,83,0.0004237093455987
लिखा,83,0.0004237093455987
होते,82,0.000418604413724
घंटे,82,0.000418604413724
आदेश,81,0.0004134994818494
घायल,81,0.0004134994818494
बन,81,0.0004134994818494
माना,80,0.0004083945499747
पांच,80,0.0004083945499747
हमला,80,0.0004083945499747
गुरुवार,80,0.0004083945499747
दल,80,0.0004083945499747
नेताओं,79,0.0004032896181
पसंद,79,0.0004032896181
बेहद,79,0.0004032896181
सोमवार,79,0.0004032896181
होना,78,0.0003981846862253
हमें,78,0.0003981846862253
याचिका,78,0.0003981846862253
नंबर,77,0.0003930797543506
अदालत,77,0.0003930797543506
शाह,77,0.0003930797543506
भाई,77,0.0003930797543506
नई,77,0.0003930797543506
बेटे,77,0.0003930797543506
उनसे,77,0.0003930797543506
पहुंच,76,0.0003879748224759
चलते,76,0.0003879748224759
युवक,76,0.0003879748224759
बैंक,76,0.0003879748224759
कहानी,76,0.0003879748224759
होगा,75,0.0003828698906013
कदम,75,0.0003828698906013
पंजाब,75,0.0003828698906013
जाना,75,0.0003828698906013
मिला,75,0.0003828698906013
जिससे,75,0.0003828698906013
दावा,74,0.0003777649587266
तैयार,74,0.0003777649587266
बजे,74,0.0003777649587266
चीन,74,0.0003777649587266
संगठन,74,0.0003777649587266
मौके,74,0.0003777649587266
सब,74,0.0003777649587266
अमित,73,0.0003726600268519
मंगलवार,73,0.0003726600268519
वोट,73,0.0003726600268519
हजार,72,0.0003675550949772
आतंकियों,72,0.0003675550949772
शनिवार,72,0.0003675550949772
यानी,72,0.0003675550949772
कहते,72,0.0003675550949772
यही,72,0.0003675550949772
करें,72,0.0003675550949772
लगता,72,0.0003675550949772
पति,72,0.0003675550949772
समेत,71,0.0003624501631025
फेसबुक,71,0.0003624501631025
सांसद,71,0.0003624501631025
बैठक,71,0.0003624501631025
अलग,71,0.0003624501631025
अली,70,0.0003573452312278
हूं,70,0.0003573452312278
बातचीत,70,0.0003573452312278
देशों,70,0.0003573452312278
हमारे,70,0.0003573452312278
कुल,70,0.0003573452312278
तय,70,0.0003573452312278
अभियान,70,0.0003573452312278
सीमा,68,0.0003471353674785
कह,68,0.0003471353674785
कैसे,68,0.0003471353674785
बनाया,68,0.0003471353674785
गौरतलब,67,0.0003420304356038
सीबीआई,67,0.0003420304356038
शहर,67,0.0003420304356038
कानून,67,0.0003420304356038
महिलाओं,66,0.0003369255037291
बदमाशों,66,0.0003369255037291
जान,66,0.0003369255037291
शुरुआत,66,0.0003369255037291
जिंदगी,66,0.0003369255037291
चला,65,0.0003318205718544
चाहिए,65,0.0003318205718544
लगे,65,0.0003318205718544
कार,65,0.0003318205718544
नए,65,0.0003318205718544
पद,65,0.0003318205718544
योजना,65,0.0003318205718544
शाहरुख,65,0.0003318205718544
वालों,64,0.0003267156399797
विदेश,64,0.0003267156399797
दूर,63,0.0003216107081051
केजरीवाल,63,0.0003216107081051
देखा,63,0.0003216107081051
अगले,63,0.0003216107081051
जून,63,0.0003216107081051
रहते,63,0.0003216107081051
बुधवार,63,0.0003216107081051
वायरल,63,0.0003216107081051
अमेरिकी,63,0.0003216107081051
फिलहाल,62,0.0003165057762304
गुजरात,62,0.0003165057762304
विभाग,62,0.0003165057762304
पैसे,62,0.0003165057762304
अधिक,62,0.0003165057762304
फरार,62,0.0003165057762304
पूछताछ,62,0.0003165057762304
रविवार,61,0.0003114008443557
अहम,60,0.000306295912481
सूचना,60,0.000306295912481
बस,60,0.000306295912481
नवंबर,60,0.000306295912481
अंजाम,60,0.000306295912481
संबंध,60,0.000306295912481
तरीके,59,0.0003011909806063
देना,59,0.0003011909806063
अंदर,59,0.0003011909806063
शाम,58,0.0002960860487316
फैसले,58,0.0002960860487316
देखते,58,0.0002960860487316
राजधानी,58,0.0002960860487316
परिजनों,58,0.0002960860487316
रखने,58,0.0002960860487316
मार,58,0.0002960860487316
करण,58,0.0002960860487316
संजय,58,0.0002960860487316
पानी,57,0.0002909811168569
मिले,57,0.0002909811168569
गोली,57,0.0002909811168569
देखने,57,0.0002909811168569
हमेशा,56,0.0002858761849823
अखिलेश,56,0.0002858761849823
कपिल,56,0.0002858761849823
मौका,56,0.0002858761849823
बताते,56,0.0002858761849823
विवाद,56,0.0002858761849823
नया,56,0.0002858761849823
हिंसा,56,0.0002858761849823
खुलासा,56,0.0002858761849823
पहचान,55,0.0002807712531076
निशाना,55,0.0002807712531076
संसद,55,0.0002807712531076
बनने,55,0.0002807712531076
वारदात,55,0.0002807712531076
पेश,55,0.0002807712531076
उससे,55,0.0002807712531076
वापस,55,0.0002807712531076
छह,55,0.0002807712531076
बने,55,0.0002807712531076
वायरस,54,0.0002756663212329
दिसंबर,54,0.0002756663212329
कराया,54,0.0002756663212329
सरकारी,54,0.0002756663212329
इतना,54,0.0002756663212329
बनाए,54,0.0002756663212329
सीएम,54,0.0002756663212329
लागू,54,0.0002756663212329
देख,54,0.0002756663212329
चाहती,54,0.0002756663212329
शव,53,0.0002705613893582
आदमी,53,0.0002705613893582
लगभग,53,0.0002705613893582
जरूरी,53,0.0002705613893582
आधार,53,0.0002705613893582
देर,53,0.0002705613893582
लगाने,52,0.0002654564574835
गंभीर,52,0.0002654564574835
राजनीति,52,0.0002654564574835
साबित,52,0.0002654564574835
आखिरी,52,0.0002654564574835
जुलाई,52,0.0002654564574835
बाकी,52,0.0002654564574835
मैच,52,0.0002654564574835
सही,52,0.0002654564574835
हरियाणा,51,0.0002603515256088
अपील,51,0.0002603515256088
कराने,51,0.0002603515256088
बरामद,51,0.0002603515256088
किताब,51,0.0002603515256088
थाने,51,0.0002603515256088
ताकि,51,0.0002603515256088
केवल,51,0.0002603515256088
जी,50,0.0002552465937342
लगाई,50,0.0002552465937342
सीटों,50,0.0002552465937342
ठीक,50,0.0002552465937342
चीनी,50,0.0002552465937342
गठबंधन,50,0.0002552465937342
हासिल,50,0.0002552465937342
हमारी,49,0.0002501416618595
हाई,49,0.0002501416618595
दाखिल,49,0.0002501416618595
सहित,49,0.0002501416618595
