vyanjan,frequency
क,0.0021231422505307855
ख,0.0
ग,0.0
घ,0.0
ङ,0.0
च,0.0010615711252653928
छ,0.0
ज,0.0
झ,0.0
ञ,0.0
ट,0.009554140127388535
ठ,0.0021231422505307855
ड,0.008492569002123142
ढ,0.0
ण,0.0021231422505307855
त,0.09023354564755838
थ,0.0021231422505307855
द,0.004246284501061571
ध,0.0
न,0.016985138004246284
प,0.01167728237791932
फ,0.0
ब,0.06263269639065817
भ,0.018046709129511677
म,0.03927813163481953
य,0.0010615711252653928
र,0.44798301486199577
ल,0.03927813163481953
व,0.020169851380042462
श,0.004246284501061571
ष,0.0
स,0.0074309978768577496
ह,0.2091295116772824
