vyanjan,frequency
क,0.004113533525298232
ख,0.0
ग,0.0008227067050596464
घ,0.0
ङ,0.0
च,0.002056766762649116
छ,0.0
ज,0.0
झ,0.0
ञ,0.0
ट,0.017688194158782398
ठ,0.0061703002879473475
ड,0.017276840806252573
ढ,0.0
ण,0.0
त,0.05594405594405595
थ,0.004113533525298232
द,0.012340600575894695
ध,0.0
न,0.017276840806252573
प,0.006581653640477171
फ,0.0004113533525298232
ब,0.007404360345536817
भ,0.04401480872069108
म,0.034965034965034975
य,0.0004113533525298232
र,0.5022624434389141
ल,0.06869600987248048
व,0.006993006993006994
श,0.0012340600575894696
ष,0.004524886877828056
स,0.013986013986013988
ह,0.17071164129987662
