vyanjan,frequency
क,0.0010822510822510823
ख,0.0
ग,0.0
घ,0.0
ङ,0.0
च,0.0
छ,0.0
ज,0.022727272727272728
झ,0.0
ञ,0.0
ट,0.0010822510822510823
ठ,0.0021645021645021645
ड,0.017316017316017316
ढ,0.003246753246753247
ण,0.003246753246753247
त,0.06818181818181818
थ,0.0
द,0.006493506493506494
ध,0.003246753246753247
न,0.031385281385281384
प,0.0021645021645021645
फ,0.0
ब,0.0
भ,0.0010822510822510823
म,0.022727272727272728
य,0.41883116883116883
र,0.22727272727272727
ल,0.08225108225108226
व,0.05519480519480519
श,0.0010822510822510823
ष,0.0
स,0.0
ह,0.02922077922077922
