vyanjan,frequency
क,0.055408970976253295
ख,0.002638522427440633
ग,0.0
घ,0.002638522427440633
ङ,0.0
च,0.005277044854881266
छ,0.0
ज,0.0
झ,0.0
ञ,0.0
ट,0.005277044854881266
ठ,0.0
ड,0.0
ढ,0.05013192612137203
ण,0.0
त,0.055408970976253295
थ,0.0
द,0.0
ध,0.0
न,0.07387862796833773
प,0.0316622691292876
फ,0.0
ब,0.0079155672823219
भ,0.0
म,0.05013192612137203
य,0.036939313984168866
र,0.09762532981530343
ल,0.48812664907651715
व,0.018469656992084433
श,0.002638522427440633
ष,0.0
स,0.002638522427440633
ह,0.013192612137203167
