vyanjan,frequency
क,0.012558869701726845
ख,0.0015698587127158557
ग,0.0565149136577708
घ,0.0
ङ,0.0
च,0.0
छ,0.0
ज,0.0015698587127158557
झ,0.0
ञ,0.0
ट,0.0
ठ,0.0
ड,0.006279434850863423
ढ,0.0
ण,0.0
त,0.023547880690737835
थ,0.0
द,0.02040816326530612
ध,0.0
न,0.18053375196232338
प,0.0031397174254317113
फ,0.0015698587127158557
ब,0.22135007849293564
भ,0.0031397174254317113
म,0.08163265306122448
य,0.02040816326530612
र,0.20565149136577707
ल,0.07535321821036106
व,0.0423861852433281
श,0.0
ष,0.0
स,0.0031397174254317113
ह,0.03924646781789639
