vyanjan,frequency
क,0.1508034610630408
ख,0.003708281829419036
ग,0.0
घ,0.0012360939431396785
ङ,0.0
च,0.011124845488257108
छ,0.0
ज,0.0173053152039555
झ,0.0012360939431396785
ञ,0.0
ट,0.003708281829419036
ठ,0.0
ड,0.014833127317676144
ढ,0.0
ण,0.0
त,0.014833127317676144
थ,0.0012360939431396785
द,0.003708281829419036
ध,0.0
न,0.2546353522867738
प,0.004944375772558714
फ,0.0
ब,0.06551297898640297
भ,0.004944375772558714
म,0.05315203955500618
य,0.00865265760197775
र,0.28553770086526575
ल,0.04697156983930779
व,0.02595797280593325
श,0.0012360939431396785
ष,0.0
स,0.012360939431396786
ह,0.012360939431396786
