vyanjan,frequency
क,0.01910828025477707
ख,0.0
ग,0.020700636942675158
घ,0.0
ङ,0.0
च,0.0
छ,0.0
ज,0.0
झ,0.0
ञ,0.0
ट,0.0
ठ,0.0
ड,0.0031847133757961785
ढ,0.0015923566878980893
ण,0.006369426751592357
त,0.028662420382165606
थ,0.0
द,0.011146496815286623
ध,0.0
न,0.06050955414012739
प,0.0015923566878980893
फ,0.03662420382165605
ब,0.041401273885350316
भ,0.0031847133757961785
म,0.14968152866242038
य,0.13694267515923567
र,0.25636942675159236
ल,0.07006369426751592
व,0.03184713375796178
श,0.03184713375796178
ष,0.0
स,0.054140127388535034
ह,0.03503184713375796
