vyanjan,frequency
क,0.2255125284738041
ख,0.0
ग,0.022779043280182234
घ,0.0
ङ,0.0
च,0.002277904328018223
छ,0.0
ज,0.011389521640091117
झ,0.0
ञ,0.0
ट,0.0
ठ,0.0
ड,0.002277904328018223
ढ,0.0
ण,0.0
त,0.05922551252847381
थ,0.0
द,0.0387243735763098
ध,0.0
न,0.018223234624145785
प,0.025056947608200455
फ,0.0
ब,0.002277904328018223
भ,0.0
म,0.025056947608200455
य,0.00683371298405467
र,0.022779043280182234
ल,0.002277904328018223
व,0.07289293849658314
श,0.002277904328018223
ष,0.0
स,0.13895216400911162
ह,0.3211845102505695
