vyanjan,frequency
क,0.055314533622559656
ख,0.0
ग,0.004338394793926247
घ,0.0005422993492407809
ङ,0.0
च,0.007592190889370932
छ,0.003796095444685466
ज,0.0010845986984815619
झ,0.0
ञ,0.0
ट,0.016268980477223426
ठ,0.0
ड,0.1339479392624729
ढ,0.01898047722342733
ण,0.028199566160520606
त,0.05422993492407809
थ,0.0032537960954446853
द,0.004880694143167028
ध,0.0
न,0.16268980477223427
प,0.0005422993492407809
फ,0.0
ब,0.0005422993492407809
भ,0.0
म,0.003796095444685466
य,0.039045553145336226
र,0.3546637744034707
ल,0.005422993492407809
व,0.008134490238611713
श,0.003796095444685466
ष,0.0010845986984815619
स,0.015726681127982648
ह,0.07212581344902386
