vyanjan,frequency
क,0.03236994219653179
ख,0.006936416184971098
ग,0.017341040462427744
घ,0.0023121387283236996
ङ,0.0
च,0.10289017341040463
छ,0.0
ज,0.035838150289017344
झ,0.0
ञ,0.0
ट,0.009248554913294798
ठ,0.0011560693641618498
ड,0.14219653179190753
ढ,0.021965317919075144
ण,0.0
त,0.04046242774566474
थ,0.0
द,0.06127167630057803
ध,0.003468208092485549
न,0.12947976878612716
प,0.0
फ,0.0
ब,0.0
भ,0.0
म,0.0011560693641618498
य,0.004624277456647399
र,0.13410404624277455
ल,0.056647398843930635
व,0.0
श,0.0
ष,0.0
स,0.056647398843930635
ह,0.13988439306358383
