vyanjan,frequency
क,0.04408352668213457
ख,0.002320185614849188
ग,0.002320185614849188
घ,0.0
ङ,0.0
च,0.013921113689095127
छ,0.0069605568445475635
ज,0.018561484918793503
झ,0.027842227378190254
ञ,0.0
ट,0.0
ठ,0.0
ड,0.0
ढ,0.0
ण,0.009280742459396751
त,0.08584686774941995
थ,0.0
द,0.025522041763341066
ध,0.016241299303944315
न,0.20649651972157773
प,0.004640371229698376
फ,0.0
ब,0.0
भ,0.0
म,0.01160092807424594
य,0.09976798143851508
र,0.04640371229698376
ल,0.03480278422273782
व,0.002320185614849188
श,0.0069605568445475635
ष,0.0
स,0.025522041763341066
ह,0.308584686774942
