vyanjan,frequency
क,0.1909722222222222
ख,0.0
ग,0.0
घ,0.0
ङ,0.0
च,0.0
छ,0.0
ज,0.006944444444444444
झ,0.0
ञ,0.0
ट,0.013888888888888888
ठ,0.0
ड,0.006944444444444444
ढ,0.0
ण,0.003472222222222222
त,0.04513888888888889
थ,0.010416666666666666
द,0.0625
ध,0.003472222222222222
न,0.09722222222222222
प,0.010416666666666666
फ,0.0
ब,0.017361111111111112
भ,0.010416666666666666
म,0.0625
य,0.006944444444444444
र,0.04513888888888889
ल,0.003472222222222222
व,0.010416666666666666
श,0.0
ष,0.0
स,0.010416666666666666
ह,0.3819444444444444
