vyanjan,frequency
क,0.06275720164609054
ख,0.043209876543209874
ग,0.00360082304526749
घ,0.0
ङ,0.0
च,0.006172839506172839
छ,0.0015432098765432098
ज,0.04063786008230453
झ,0.00102880658436214
ञ,0.0
ट,0.00360082304526749
ठ,0.0
ड,0.0
ढ,0.0
ण,0.02880658436213992
त,0.17746913580246915
थ,0.0051440329218107
द,0.035493827160493825
ध,0.0
न,0.09156378600823045
प,0.00977366255144033
फ,0.020061728395061727
ब,0.007716049382716049
भ,0.00411522633744856
म,0.035493827160493825
य,0.0030864197530864196
र,0.00051440329218107
ल,0.007716049382716049
व,0.03137860082304527
श,0.03189300411522634
ष,0.00102880658436214
स,0.038580246913580245
ह,0.30761316872427985
