vyanjan,frequency
क,0.10470588235294118
ख,0.009411764705882352
ग,0.33294117647058824
घ,0.0
ङ,0.0
च,0.00823529411764706
छ,0.0
ज,0.015294117647058824
झ,0.002352941176470588
ञ,0.0
ट,0.021176470588235293
ठ,0.001176470588235294
ड,0.09058823529411765
ढ,0.0
ण,0.0
त,0.16823529411764707
थ,0.0
द,0.010588235294117647
ध,0.0
न,0.08352941176470588
प,0.012941176470588235
फ,0.0
ब,0.012941176470588235
भ,0.0
म,0.03764705882352941
य,0.0035294117647058825
र,0.004705882352941176
ल,0.00823529411764706
व,0.02235294117647059
श,0.0
ष,0.0
स,0.02588235294117647
ह,0.023529411764705882
