vyanjan,frequency
क,0.09497816593886463
ख,0.0
ग,0.002183406113537118
घ,0.0
ङ,0.0
च,0.002183406113537118
छ,0.0
ज,0.018558951965065504
झ,0.0
ञ,0.0
ट,0.008733624454148471
ठ,0.0
ड,0.001091703056768559
ढ,0.0
ण,0.001091703056768559
त,0.0425764192139738
थ,0.001091703056768559
द,0.001091703056768559
ध,0.006550218340611353
न,0.07751091703056769
प,0.001091703056768559
फ,0.0
ब,0.0
भ,0.0054585152838427945
म,0.0
य,0.021834061135371178
र,0.13537117903930132
ल,0.03711790393013101
व,0.002183406113537118
श,0.02292576419213974
ष,0.0
स,0.04039301310043668
ह,0.4759825327510917
