vyanjan,frequency
क,0.3263707571801567
ख,0.0026109660574412533
ग,0.005221932114882507
घ,0.0
ङ,0.0
च,0.015013054830287207
छ,0.0
ज,0.010443864229765013
झ,0.0
ञ,0.0
ट,0.0006527415143603133
ठ,0.0006527415143603133
ड,0.013054830287206266
ढ,0.0
ण,0.0
त,0.024804177545691905
थ,0.0
द,0.007832898172323759
ध,0.0
न,0.08159268929503917
प,0.009138381201044387
फ,0.009138381201044387
ब,0.07114882506527415
भ,0.015665796344647518
म,0.15796344647519583
य,0.0013054830287206266
र,0.11161879895561358
ल,0.037859007832898174
व,0.0195822454308094
श,0.0006527415143603133
ष,0.0
स,0.043733681462140996
ह,0.033942558746736295
