vyanjan,frequency
क,0.03402061855670103
ख,0.0
ग,0.002061855670103093
घ,0.0
ङ,0.0
च,0.009278350515463918
छ,0.0
ज,0.02577319587628866
झ,0.0
ञ,0.0
ट,0.02577319587628866
ठ,0.0010309278350515464
ड,0.004123711340206186
ढ,0.0
ण,0.002061855670103093
त,0.21030927835051547
थ,0.003092783505154639
द,0.004123711340206186
ध,0.0010309278350515464
न,0.10206185567010309
प,0.0
फ,0.003092783505154639
ब,0.050515463917525774
भ,0.0
म,0.14329896907216494
य,0.005154639175257732
र,0.16391752577319588
ल,0.13814432989690723
व,0.03402061855670103
श,0.003092783505154639
ष,0.002061855670103093
स,0.031958762886597936
ह,0.0
