ending,frequency
थी,0.048162230671736375
था,0.06337135614702155
थे,0.05449936628643853
हैं,0.12547528517110265
है,0.28010139416983526
होगा,0.008871989860583017
दें,0.0012674271229404308
जाए,0.005069708491761723
रखेंगे,0.0012674271229404308
आये,0.0012674271229404308
चन्द्रसेन,0.0012674271229404308
पाया,0.0012674271229404308
गयी,0.0012674271229404308
दी,0.005069708491761723
की,0.0012674271229404308
मिला,0.0038022813688212928
किया,0.019011406844106463
लिया,0.008871989860583017
गया,0.03929024081115336
दिया,0.024081115335868188
लगे,0.011406844106463879
हूँ,0.0025348542458808617
लें,0.0012674271229404308
रखें,0.0012674271229404308
हुई,0.0063371356147021544
नहीं,0.0038022813688212928
जाएगा,0.0063371356147021544
भुगतेगा,0.0012674271229404308
करेंगे,0.0012674271229404308
बताए,0.0012674271229404308
गए,0.02788339670468948
दौड़ने,0.0012674271229404308
काटूँगा,0.0012674271229404308
बेचूंगा,0.0012674271229404308
जाऊंगा,0.0012674271229404308
लूँगा,0.0012674271229404308
करूंगा,0.0012674271229404308
गुज़रे,0.0012674271229404308
मिलेगा,0.0038022813688212928
चलो,0.0012674271229404308
लिए,0.0025348542458808617
रहना,0.0012674271229404308
पहुंचे,0.0025348542458808617
उठी,0.0012674271229404308
लगी,0.0038022813688212928
जाने,0.0012674271229404308
अपनाया,0.0012674271229404308
लगा,0.011406844106463879
बढ़ेगा,0.0012674271229404308
पढ़ाया,0.0012674271229404308
इंडोनेशिया,0.0012674271229404308
बांग्लादेश,0.0012674271229404308
निर्मित,0.0012674271229404308
लोग,0.0012674271229404308
,0.0076045627376425855
होगी,0.0038022813688212928
मनुष्,0.0012674271229404308
गई,0.011406844106463879
रुकी,0.0012674271229404308
हूं,0.0063371356147021544
थीं,0.0025348542458808617
कहा,0.01394169835234474
गईं,0.0012674271229404308
गये,0.0012674271229404308
बिताए,0.0012674271229404308
पड़ी,0.0012674271229404308
हो,0.0063371356147021544
चाहिए,0.012674271229404309
करें”,0.0012674271229404308
हुआ,0.008871989860583017
निकालो,0.0012674271229404308
खाऊँगा,0.0012674271229404308
रहा,0.008871989860583017
रहे,0.005069708491761723
सका,0.0012674271229404308
देखें,0.0012674271229404308
सुनें,0.0012674271229404308
सोचा,0.0012674271229404308
देखा,0.0038022813688212928
तरफ,0.0012674271229404308
बताई,0.0012674271229404308
सकता,0.0025348542458808617
खेला,0.0012674271229404308
लगाई,0.0012674271229404308
पाएगा,0.0012674271229404308
रही,0.0012674271229404308
देंगी,0.0012674271229404308
सकते,0.0012674271229404308
सकें,0.0012674271229404308
लगीं,0.0012674271229404308
आई,0.0012674271229404308
गूंजी,0.0012674271229404308
बताएगा,0.0012674271229404308
मिली,0.0038022813688212928
सकती,0.0012674271229404308
सुनाई,0.0012674271229404308
देते,0.0012674271229404308
पूछा,0.0025348542458808617
देगा,0.0025348542458808617
बुलाया,0.0012674271229404308
हुए,0.0025348542458808617
बताया,0.0025348542458808617
करो,0.0012674271229404308
जाएगी,0.0012674271229404308
बोले,0.0012674271229404308
हिलाया,0.0012674271229404308
चाहा,0.0012674271229404308
मरेंगे,0.0012674271229404308
रहेंगे,0.0012674271229404308
गुजारी,0.0012674271229404308
बिताई,0.0012674271229404308
दो,0.0012674271229404308
आएंगे,0.0012674271229404308
पकेगी,0.0012674271229404308
ली,0.0012674271229404308
होंगी,0.0025348542458808617
लाओ,0.0012674271229404308
दिखाएं,0.0012674271229404308
पड़ा,0.0012674271229404308
दूंगा,0.0012674271229404308
पहुँचा,0.0012674271229404308
बुलाओ,0.0012674271229404308
भूलना,0.0012674271229404308
रहूँगा,0.0012674271229404308
बोला,0.0012674271229404308
आया,0.0012674271229404308
ढूंढो,0.0012674271229404308
सकीं,0.0012674271229404308
पड़ा,0.0012674271229404308
सके,0.0012674271229404308
करें,0.0012674271229404308
बसे,0.0012674271229404308
आए,0.0025348542458808617
एकता,0.0012674271229404308
पहुंची,0.0012674271229404308
रहेगी,0.0012674271229404308
रहेगा,0.0012674271229404308
बताएं,0.0012674271229404308
