halfLetter,frequency
स्,0.10041033067825247
त्,0.1037895244991552
न्,0.09534153994689838
प्,0.0666183924692252
र्,0.10837557325609462
ष्,0.024137098720733767
व्,0.016171856142891624
ल्,0.02920588945208786
ध्,0.007482500603427468
क्,0.1537533188510741
ग्,0.016413227130098962
श्,0.03644701906830799
ज्,0.028723147477673183
म्,0.06323919864832248
च्,0.038619357953174026
भ्,0.0026550808592807145
द्,0.03258508327299059
ड्,0.002172338884866039
फ्,0.008206613565049481
थ्,0.0009654839488293508
ख्,0.008930726526671495
ण्,0.017378711078928313
ट्,0.007723871590634806
ब्,0.025826695631185132
ह्,0.0033791938209027277
य्,0.0004827419744146754
घ्,0.0009654839488293508
