monogram,frequency
आ,0.07918968692449356
2,0.014732965009208104
न,0.46408839779005523
3,0.010128913443830571
क,0.003683241252302026
?,0.07366482504604052
–,0.011049723756906077
4,0.009208103130755065
!,0.0718232044198895
5,0.003683241252302026
6,0.0027624309392265192
:,0.007366482504604052
।,0.18968692449355432
",",0.013812154696132596
१,0.0009208103130755065
५,0.0027624309392265192
ह,0.001841620626151013
स,0.001841620626151013
|,0.016574585635359115
;,0.003683241252302026
‘,0.0009208103130755065
७,0.0009208103130755065
ऐ,0.0055248618784530384
व,0.001841620626151013
9,0.0009208103130755065
ऑ,0.0009208103130755065
),0.0009208103130755065
ट,0.0009208103130755065
1,0.0009208103130755065
•,0.0009208103130755065
त,0.0009208103130755065
7,0.0009208103130755065
8,0.0009208103130755065
