triagram,frequency
में,0.1202909846713432
थी।,0.009872694206287348
नाम,0.00883346323720447
था।,0.012990387113535984
काम,0.0036373083917900753
पेट,0.0005196154845414394
दिन,0.014549233567160301
रात,0.00805404001039231
साथ,0.010652117433099507
बड़ी,0.0005196154845414394
उसे,0.014289425824889582
आते,0.0020784619381657575
थे।,0.011171732917640946
कोई,0.009353078721745909
आता,0.0036373083917900753
"था,",0.005455962587685113
कुछ,0.016887503247596778
लोग,0.00831384775266303
लूट,0.0002598077422707197
रहे,0.010652117433099507
है।,0.057417511041829045
वही,0.001558846453624318
सिल,0.0002598077422707197
बाद,0.012210963886723825
माँ,0.0028578851649779164
पास,0.00805404001039231
आती,0.000779423226812159
बात,0.013250194855806703
वहम,0.0005196154845414394
समझ,0.0020784619381657575
हैं,0.01558846453624318
पता,0.002598077422707197
ऐसा,0.006755001299038711
मिल,0.0018186541958950377
खूब,0.0010392309690828788
रही,0.006235385814497272
नया,0.0005196154845414394
ख़ाक,0.0002598077422707197
तभी,0.003117692907248636
आने,0.0018186541958950377
जली,0.0002598077422707197
कटी,0.0002598077422707197
चली,0.0012990387113535984
लिए,0.020784619381657574
फिर,0.00857365549493375
तरह,0.009353078721745909
रूप,0.0059755780722265525
जला,0.0002598077422707197
खाक,0.0002598077422707197
बोल,0.0018186541958950377
टूट,0.000779423226812159
सुन,0.0012990387113535984
उसी,0.0018186541958950377
चला,0.002598077422707197
पहर,0.0002598077422707197
महल,0.002598077422707197
उठा,0.0010392309690828788
रहा,0.013769810340348142
आया,0.002598077422707197
सभी,0.00779423226812159
जाग,0.0002598077422707197
बता,0.0018186541958950377
बचा,0.0005196154845414394
हार,0.000779423226812159
बसे,0.0005196154845414394
नगर,0.001558846453624318
इसी,0.001558846453624318
ताक,0.0002598077422707197
रजा,0.0002598077422707197
तेज,0.0018186541958950377
जान,0.000779423226812159
खड़ा,0.0002598077422707197
है;,0.0002598077422707197
"है,",0.010911925175370226
देख,0.0036373083917900753
याद,0.001558846453624318
भरा,0.0005196154845414394
अगर,0.004156923876331515
खोज,0.001558846453624318
जाए,0.000779423226812159
नाव,0.0002598077422707197
नज़र,0.0005196154845414394
कूद,0.0010392309690828788
खुद,0.003117692907248636
कों,0.0002598077422707197
सेन,0.0005196154845414394
जगह,0.002338269680436477
जीत,0.0018186541958950377
भार,0.0002598077422707197
सौप,0.0002598077422707197
चुप,0.0012990387113535984
कौन,0.012470771628994544
था?,0.0012990387113535984
मौत,0.0005196154845414394
मदद,0.001558846453624318
आयु,0.0005196154845414394
भाई,0.003117692907248636
गयी,0.002598077422707197
शिव,0.0005196154845414394
समय,0.009612886464016628
हुआ,0.007274616783580151
हुई,0.003117692907248636
गया,0.00857365549493375
संत,0.0005196154845414394
दी।,0.0010392309690828788
कहा,0.012730579371265264
मान,0.001558846453624318
की।,0.0002598077422707197
कवी,0.0010392309690828788
आगे,0.003117692907248636
राय,0.00805404001039231
"थे,",0.0018186541958950377
बार,0.004156923876331515
बोध,0.0002598077422707197
अरब,0.000779423226812159
तथा,0.001558846453624318
बेच,0.0005196154845414394
तीन,0.0010392309690828788
माह,0.0010392309690828788
बना,0.0010392309690828788
रोज,0.0005196154845414394
दंड,0.0005196154845414394
बीत,0.0010392309690828788
हाथ,0.005196154845414394
वजह,0.0005196154845414394
झूठ,0.0005196154845414394
बनी,0.0010392309690828788
अरे,0.0005196154845414394
तुम,0.0028578851649779164
हो?,0.000779423226812159
बड़े,0.0005196154845414394
मैं,0.014029618082618862
कदम,0.0005196154845414394
लपक,0.0002598077422707197
पकड़,0.0002598077422707197
जमा,0.0005196154845414394
तोड़,0.0002598077422707197
काट,0.000779423226812159
जिस,0.0010392309690828788
ठीक,0.001558846453624318
बोझ,0.0005196154845414394
हुए,0.00805404001039231
कथा,0.0002598077422707197
सिर,0.000779423226812159
वचन,0.0005196154845414394
सके,0.0010392309690828788
कड़ा,0.0002598077422707197
खुश,0.0018186541958950377
सजा,0.0012990387113535984
खास,0.000779423226812159
पेड़,0.0010392309690828788
