vyanjan,frequency
क,0.11300345491223596
ख,0.014839891483293528
ग,0.03268254225890973
घ,0.003652004544716767
ङ,0.0
च,0.018190460732255897
छ,0.00615623623252255
ज,0.03056090152340761
झ,0.005692489623669627
ञ,0.000336216291418369
ट,0.00918218285528787
ठ,0.005611333967120365
ड,0.014863078813736174
ढ,0.0020984534050594757
ण,0.003199851601085167
त,0.06710413430101793
थ,0.017541215479861802
द,0.039140213787186684
ध,0.006689544832703411
न,0.07767755698286456
प,0.03701857305168456
फ,0.005263524010480673
ब,0.03228835764138475
भ,0.01465439283975236
म,0.06203770259929974
य,0.04000973867878591
र,0.10431979966146497
ल,0.046096412919980526
व,0.02606255941753426
श,0.010654578338395901
ष,0.003547661557724859
स,0.06471583926542537
ह,0.08510909638973264
